Rk,Squad,Comp,# Pl,Weekly Wages,Annual Wages,% Estimated
1,Paris Saint-Germain,Ligue 1,62,"€ 6,953,654 (£ 5,982,300, $7,603,546)","€ 361,590,000 (£ 311,079,619, $395,384,417)",31%
2,Real Madrid,La Liga,46,"€ 5,595,192 (£ 4,813,602, $6,118,122)","€ 290,950,000 (£ 250,307,293, $318,142,363)",7%
3,Barcelona,La Liga,50,"€ 5,163,654 (£ 4,442,345, $5,646,252)","€ 268,510,000 (£ 231,001,931, $293,605,104)",26%
4,Manchester Utd,Premier League,94,"€ 5,108,040 (£ 4,394,500, $5,585,441)","€ 265,618,093 (£ 228,514,000, $290,442,939)",17%
5,Bayern Munich,Bundesliga,52,"€ 5,047,500 (£ 4,342,417, $5,519,242)","€ 262,470,000 (£ 225,805,658, $287,000,606)",23%
6,Manchester City,Premier League,72,"€ 4,353,080 (£ 3,745,000, $4,759,922)","€ 226,360,165 (£ 194,740,000, $247,515,941)",15%
7,Chelsea,Premier League,89,"€ 4,248,467 (£ 3,655,000, $4,645,531)","€ 220,920,267 (£ 190,060,000, $241,567,629)",21%
8,Liverpool,Premier League,87,"€ 3,620,786 (£ 3,115,000, $3,959,187)","€ 188,280,884 (£ 161,980,000, $205,877,743)",30%
9,Juventus,Serie A,91,"€ 3,141,731 (£ 2,702,864, $3,435,359)","€ 163,370,000 (£ 140,548,904, $178,638,659)",11%
10,Atlético Madrid,La Liga,45,"€ 2,908,269 (£ 2,502,014, $3,180,078)","€ 151,230,000 (£ 130,104,733, $165,364,046)",33%
11,Inter,Serie A,86,"€ 2,580,000 (£ 2,219,601, $2,821,128)","€ 134,160,000 (£ 115,419,238, $146,698,674)",13%
12,Tottenham Hotspur,Premier League,79,"€ 2,443,885 (£ 2,102,500, $2,672,293)","€ 127,082,044 (£ 109,330,000, $138,959,216)",29%
13,Dortmund,Bundesliga,65,"€ 2,356,154 (£ 2,027,024, $2,576,361)","€ 122,520,000 (£ 105,405,225, $133,970,796)",69%
14,Arsenal,Premier League,69,"€ 2,272,436 (£ 1,955,000, $2,484,819)","€ 118,166,655 (£ 101,660,000, $129,210,591)",7%
15,Aston Villa,Premier League,81,"€ 2,249,188 (£ 1,935,000, $2,459,399)","€ 116,957,789 (£ 100,620,000, $127,888,743)",23%
16,Everton,Premier League,80,"€ 1,895,827 (£ 1,631,000, $2,073,013)","€ 98,583,027 (£ 84,812,000, $107,796,661)",45%
17,Newcastle United,Premier League,87,"€ 1,851,657 (£ 1,593,000, $2,024,714)","€ 96,286,181 (£ 82,836,000, $105,285,152)",23%
18,West Ham United,Premier League,69,"€ 1,842,358 (£ 1,585,000, $2,014,546)","€ 95,802,637 (£ 82,420,000, $104,756,412)",17%
19,Roma,Serie A,85,"€ 1,799,423 (£ 1,548,062, $1,967,598)","€ 93,570,000 (£ 80,499,239, $102,315,108)",8%
20,RB Leipzig,Bundesliga,52,"€ 1,796,538 (£ 1,545,581, $1,964,444)","€ 93,420,000 (£ 80,370,193, $102,151,090)",35%
21,Leicester City,Premier League,81,"€ 1,760,992 (£ 1,515,000, $1,925,576)","€ 91,571,604 (£ 78,780,000, $100,129,945)",31%
