Squad,Comp,Season,Club_Annual_EUR,Club_Wage_Rank,Club_Wage_Rank_Pct
Paris Saint-Germain,Ligue 1,2022-2023,361590000,1,1.0
Real Madrid,La Liga,2022-2023,290950000,1,1.0
Barcelona,La Liga,2022-2023,268510000,2,0.9473684210526315
Manchester Utd,Premier League,2022-2023,265618093,1,1.0
Bayern Munich,Bundesliga,2022-2023,262470000,1,1.0
Manchester City,Premier League,2022-2023,226360165,2,0.9473684210526315
Chelsea,Premier League,2022-2023,220920267,3,0.8947368421052632
Liverpool,Premier League,2022-2023,188280884,4,0.8421052631578947
Juventus,Serie A,2022-2023,163370000,1,1.0
Atlético Madrid,La Liga,2022-2023,151230000,3,0.8947368421052632
Inter,Serie A,2022-2023,134160000,2,0.9473684210526315
Tottenham Hotspur,Premier League,2022-2023,127082044,5,0.7894736842105263
Dortmund,Bundesliga,2022-2023,122520000,2,0.9411764705882353
Arsenal,Premier League,2022-2023,118166655,6,0.7368421052631579
Aston Villa,Premier League,2022-2023,116957789,7,0.6842105263157895
Everton,Premier League,2022-2023,98583027,8,0.631578947368421
Newcastle United,Premier League,2022-2023,96286181,9,0.5789473684210527
West Ham United,Premier League,2022-2023,95802637,10,0.5263157894736842
Roma,Serie A,2022-2023,93570000,3,0.8947368421052632
RB Leipzig,Bundesliga,2022-2023,93420000,3,0.8823529411764706
Leicester City,Premier League,2022-2023,91571604,11,0.47368421052631576
Milan,Serie A,2022-2023,83350000,4,0.8421052631578947
Crystal Palace,Premier League,2022-2023,77669646,12,0.42105263157894735
Sevilla,La Liga,2022-2023,73930000,4,0.8421052631578947
Napoli,Serie A,2022-2023,69266000,5,0.7894736842105263
Marseille,Ligue 1,2022-2023,68500000,2,0.9473684210526315
Lazio,Serie A,2022-2023,66560000,6,0.7368421052631579
Athletic Club,La Liga,2022-2023,63390000,5,0.7894736842105263
Fulham,Premier League,2022-2023,63163251,13,0.3684210526315789
Nottingham Forest,Premier League,2022-2023,62105496,14,0.3157894736842105
Wolves,Premier League,2022-2023,60654855,15,0.2631578947368421
Monaco,Ligue 1,2022-2023,58630000,3,0.8947368421052632
Southampton,Premier League,2022-2023,57602471,16,0.21052631578947367
Leeds United,Premier League,2022-2023,57390918,17,0.15789473684210525
Leverkusen,Bundesliga,2022-2023,57330000,4,0.8235294117647058
Villarreal,La Liga,2022-2023,54200000,6,0.7368421052631579
Fiorentina,Serie A,2022-2023,53100000,7,0.6842105263157895
Lyon,Ligue 1,2022-2023,51910000,4,0.8421052631578947
Gladbach,Bundesliga,2022-2023,47800000,5,0.7647058823529411
Valencia,La Liga,2022-2023,47620000,7,0.6842105263157895
Bournemouth,Premier League,2022-2023,44667602,18,0.10526315789473684
Brighton,Premier League,2022-2023,44607160,19,0.05263157894736842
Wolfsburg,Bundesliga,2022-2023,44540000,6,0.7058823529411765
Real Betis,La Liga,2022-2023,43240000,8,0.631578947368421
Nice,Ligue 1,2022-2023,43100000,5,0.7894736842105263
Real Sociedad,La Liga,2022-2023,43080000,9,0.5789473684210527
Monza,Serie A,2022-2023,41607000,8,0.631578947368421
Atalanta,Serie A,2022-2023,40837000,9,0.5789473684210527
Hoffenheim,Bundesliga,2022-2023,37740000,7,0.6470588235294118
Brentford,Premier League,2022-2023,37353966,20,0.0
Schalke 04,Bundesliga,2022-2023,35680000,8,0.5882352941176471
Torino,Serie A,2022-2023,35130000,10,0.5263157894736842
Getafe,La Liga,2022-2023,34115000,10,0.5263157894736842
Eintracht Frankfurt,Bundesliga,2022-2023,33960000,9,0.5294117647058824
Hertha BSC,Bundesliga,2022-2023,33420000,10,0.47058823529411764
Bologna,Serie A,2022-2023,32992000,11,0.47368421052631576
Salernitana,Serie A,2022-2023,32966000,12,0.42105263157894735
Celta Vigo,La Liga,2022-2023,31980000,11,0.47368421052631576
Rennes,Ligue 1,2022-2023,31080000,6,0.7368421052631579
Sassuolo,Serie A,2022-2023,31036000,13,0.3684210526315789
Empoli,Serie A,2022-2023,26896000,14,0.3157894736842105
Lille,Ligue 1,2022-2023,26620000,7,0.6842105263157895
Sampdoria,Serie A,2022-2023,26376000,15,0.2631578947368421
Augsburg,Bundesliga,2022-2023,26070000,11,0.4117647058823529
Espanyol,La Liga,2022-2023,24890000,12,0.42105263157894735
Werder Bremen,Bundesliga,2022-2023,23590000,12,0.35294117647058826
Spezia,Serie A,2022-2023,21730000,16,0.21052631578947367
Köln,Bundesliga,2022-2023,21380000,13,0.29411764705882354
Mainz 05,Bundesliga,2022-2023,21350000,14,0.23529411764705882
Hellas Verona,Serie A,2022-2023,21240000,17,0.15789473684210525
Union Berlin,Bundesliga,2022-2023,20430000,15,0.17647058823529413
Cremonese,Serie A,2022-2023,20376000,18,0.10526315789473684
Udinese,Serie A,2022-2023,20032000,19,0.05263157894736842
Freiburg,Bundesliga,2022-2023,19590000,16,0.11764705882352941
Valladolid,La Liga,2022-2023,18915000,13,0.3684210526315789
Nantes,Ligue 1,2022-2023,18900000,8,0.631578947368421
Mallorca,La Liga,2022-2023,18240000,14,0.3157894736842105
Osasuna,La Liga,2022-2023,17655000,15,0.2631578947368421
Cádiz,La Liga,2022-2023,17440000,16,0.21052631578947367
Girona,La Liga,2022-2023,17315000,17,0.15789473684210525
Elche,La Liga,2022-2023,16915000,18,0.10526315789473684
Troyes,Ligue 1,2022-2023,16770000,9,0.5789473684210527
Lecce,Serie A,2022-2023,16526000,20,0.0
Stuttgart,Bundesliga,2022-2023,16100000,17,0.058823529411764705
Bochum,Bundesliga,2022-2023,15700000,18,0.0
Angers,Ligue 1,2022-2023,15540000,10,0.5263157894736842
Montpellier,Ligue 1,2022-2023,14720000,11,0.47368421052631576
Almería,La Liga,2022-2023,13965000,19,0.05263157894736842
Strasbourg,Ligue 1,2022-2023,13640000,12,0.42105263157894735
Rayo Vallecano,La Liga,2022-2023,12660000,20,0.0
Reims,Ligue 1,2022-2023,12610000,13,0.3684210526315789
Brest,Ligue 1,2022-2023,11410000,14,0.3157894736842105
Lens,Ligue 1,2022-2023,11200000,15,0.2631578947368421
Auxerre,Ligue 1,2022-2023,10580000,16,0.21052631578947367
Lorient,Ligue 1,2022-2023,8560000,17,0.15789473684210525
Toulouse,Ligue 1,2022-2023,7960000,18,0.10526315789473684
Clermont Foot,Ligue 1,2022-2023,6970000,19,0.05263157894736842
Ajaccio,Ligue 1,2022-2023,6480000,20,0.0
Paris Saint-Germain,Ligue 1,2023-2024,293190000,1,1.0
Real Madrid,La Liga,2023-2024,285570000,1,1.0
Bayern Munich,Bundesliga,2023-2024,257320000,1,1.0
Manchester Utd,Premier League,2023-2024,243550559,1,1.0
