Team,Player,Nation,Pos,Age,Weekly Wages,Annual Wages,Notes
West Ham United,Aaron Cresswell,ENG,DF,34.0,"£ 50,000 (€ 59,237, $61,063)","£ 2,600,000 (€ 3,080,342, $3,175,256)",
Brentford,Aaron Hickey,SCO,"DF,MF",22.0,"£ 70,000 (€ 82,932, $85,488)","£ 3,640,000 (€ 4,312,479, $4,445,358)",
Southampton,Aaron Ramsdale,ENG,GK,26.0,"£ 120,000 (€ 142,170, $146,550)","£ 6,240,000 (€ 7,392,822, $7,620,614)",Unverified estimation
West Ham United,Aaron Wan-Bissaka,COD,"DF,MF",26.0,"£ 90,000 (€ 106,627, $109,913)","£ 4,680,000 (€ 5,544,616, $5,715,460)",
Genoa,Aarón Martín,ESP,"DF,MF",27.0,"€ 24,615 (£ 20,777, $25,374)","€ 1,280,000 (£ 1,080,418, $1,319,463)",
Strasbourg,Abakar Sylla,CIV,DF,21.0,"€ 17,308 (£ 14,609, $17,841)","€ 900,000 (£ 759,669, $927,747)",Unverified estimation
Brest,Abdallah Sima,SEN,FW,23.0,"€ 25,000 (£ 21,102, $25,771)","€ 1,300,000 (£ 1,097,299, $1,340,079)",Unverified estimation
Real Betis,Abde Ezzalzouli,MAR,MF,22.0,"€ 15,385 (£ 12,986, $15,859)","€ 800,000 (£ 675,261, $824,664)",Unverified estimation
Alavés,Abde Rebbach,ALG,"MF,FW",25.0,"€ 10,000 (£ 8,441, $10,308)","€ 520,000 (£ 438,920, $536,032)",Unverified estimation
Alavés,Abdel Abqar,MAR,DF,25.0,"€ 7,115 (£ 6,006, $7,335)","€ 370,000 (£ 312,308, $381,407)",Unverified estimation
Fiorentina,Abdelhamid Sabiri,MAR,AM,27.0,"€ 28,462 (£ 24,024, $29,339)","€ 1,480,000 (£ 1,249,233, $1,525,629)",Unverified estimation
Werder Bremen,Abdenego Nankishi,GER,FW,22.0,"€ 1,731 (£ 1,461, $1,784)","€ 90,000 (£ 75,967, $92,775)",Unverified estimation
Hellas Verona,Abdou Harroui,NED,"MF,FW",26.0,"€ 14,808 (£ 12,499, $15,264)","€ 770,000 (£ 649,939, $793,739)",Unverified estimation
Reims,Abdoul Koné,FRA,DF,19.0,"€ 1,923 (£ 1,623, $1,982)","€ 100,000 (£ 84,408, $103,083)",Unverified estimation
