model,variable,coef,se,t,pvalue,ci_lo,ci_hi
Defenders,Age,0.590611,0.041502,14.2308,0.0,0.509222,0.672001
Defenders,Age2,-0.009374,0.000753,-12.4435,0.0,-0.010852,-0.007897
Defenders,Min_pct,0.004964,0.000627,7.9219,0.0,0.003735,0.006193
Defenders,team_press_intensity,0.124431,0.126268,0.9855,0.324514,-0.123191,0.372054
Defenders,tkl_above_system,-0.02624,0.03485,-0.7529,0.451579,-0.094584,0.042105
Defenders,int_above_system,0.017789,0.035705,0.4982,0.618376,-0.052231,0.087809
Defenders,NPGls_p90,0.47822,0.473849,1.0092,0.312983,-0.451039,1.407478
Defenders,Ast_p90,-0.03183,0.208024,-0.153,0.878404,-0.439784,0.376124
Defenders,NPSh_p90,0.052087,0.05162,1.009,0.313073,-0.049145,0.153319
Defenders,G_Sh,-0.259835,0.242843,-1.07,0.284754,-0.736072,0.216401
Defenders,G_Sh_zero,0.032055,0.089232,0.3592,0.719454,-0.142936,0.207047
Defenders,Fld_p90,-0.071995,0.03156,-2.2812,0.022637,-0.133888,-0.010102
Defenders,CrdY_p90,0.088471,0.098288,0.9001,0.368156,-0.10428,0.281223
Defenders,On_Off,0.00559,0.017741,0.3151,0.752704,-0.029201,0.040382
Midfielders,Age,0.564982,0.03477,16.2493,0.0,0.496806,0.633158
Midfielders,Age2,-0.008762,0.000639,-13.7109,0.0,-0.010015,-0.007509
Midfielders,Min_pct,0.005309,0.000555,9.5616,0.0,0.00422,0.006398
Midfielders,NPGls_p90,0.344336,0.224309,1.5351,0.124871,-0.095488,0.78416
Midfielders,Ast_p90,0.205668,0.124613,1.6505,0.098959,-0.038671,0.450007
Midfielders,SoT_p90,0.137237,0.062408,2.199,0.027955,0.014868,0.259606
Midfielders,G_Sh,-0.431028,0.235917,-1.827,0.067798,-0.893611,0.031555
Midfielders,G_Sh_zero,-0.056103,0.138191,-0.406,0.684787,-0.327067,0.214861
Midfielders,TklW_p90,-0.048814,0.030122,-1.6205,0.105227,-0.107878,0.010249
Midfielders,Int_p90,0.00538,0.035438,0.1518,0.879335,-0.064106,0.074867
Midfielders,Fls_p90,-0.037334,0.029277,-1.2752,0.202338,-0.09474,0.020072
Midfielders,Fld_p90,0.049936,0.021225,2.3527,0.018703,0.008319,0.091553
Midfielders,CrdY_p90,0.017682,0.0961,0.184,0.854027,-0.17075,0.206115
Midfielders,On_Off,-0.003419,0.011579,-0.2953,0.767816,-0.026122,0.019284
Forwards,Age,0.421413,0.058659,7.1841,0.0,0.30629,0.536537
Forwards,Age2,-0.006526,0.001069,-6.1073,0.0,-0.008623,-0.004429
Forwards,Min_pct,0.009102,0.001056,8.6198,0.0,0.00703,0.011174
Forwards,NPGls_p90,1.117595,0.405075,2.759,0.005915,0.322598,1.912592
Forwards,Ast_p90,0.38193,0.215922,1.7688,0.077259,-0.041837,0.805697
Forwards,SoT_p90,0.042534,0.132715,0.3205,0.74867,-0.217932,0.303
Forwards,G_Sh,-2.767415,0.978529,-2.8281,0.004786,-4.687869,-0.84696
Forwards,G_Sh_zero,0.545175,0.391961,1.3909,0.164601,-0.224086,1.314437
Forwards,SoT_pct,-0.000482,0.003216,-0.15,0.880816,-0.006794,0.005829
Forwards,Off_p90,0.161418,0.067329,2.3974,0.016713,0.029277,0.293558
Forwards,TklW_p90,-0.106061,0.073992,-1.4334,0.152085,-0.251277,0.039155
Forwards,Int_p90,-0.075314,0.111033,-0.6783,0.497752,-0.293227,0.142599
Forwards,CrdY_p90,-0.033817,0.135776,-0.2491,0.803369,-0.300291,0.232657
Forwards,On_Off,-0.059617,0.034561,-1.725,0.084876,-0.127447,0.008213
Forwards,Club_Wage_Rank_Pct,2.313076,0.088128,26.2469,0.0,2.140117,2.486034
Goalkeepers,Age,0.359008,0.075383,4.7625,3e-06,0.210906,0.507109
Goalkeepers,Age2,-0.004982,0.001276,-3.9041,0.000107,-0.00749,-0.002475
Goalkeepers,Min_pct,0.009413,0.001211,7.7742,0.0,0.007034,0.011792
Goalkeepers,Save_pct,0.002266,0.006354,0.3567,0.72149,-0.010217,0.01475
Goalkeepers,cs_per_shot_faced,0.052382,0.740903,0.0707,0.943664,-1.403236,1.508
Goalkeepers,sota_vs_avg,-0.301157,0.305355,-0.9863,0.32448,-0.901073,0.298759
Goalkeepers,ga_vs_league_avg,-0.039931,0.151485,-0.2636,0.792197,-0.337548,0.257685
Goalkeepers,Save_pct_PK,-0.003155,0.001589,-1.9859,0.047586,-0.006277,-3.4e-05
Goalkeepers,SavePct_PK_zero,-0.146253,0.111186,-1.3154,0.188971,-0.364694,0.072188
Goalkeepers,W_pct,0.41861,0.241773,1.7314,0.083986,-0.05639,0.893609
Goalkeepers,D_pct,-0.028712,0.224184,-0.1281,0.898143,-0.469157,0.411733
Goalkeepers,Club_Wage_Rank_Pct,1.718943,0.124067,13.8549,0.0,1.475193,1.962692
