model,variable,coef,se,t,pvalue,ci_lo,ci_hi
Defenders,Age,0.590611,0.041502,14.2308,0.0,0.509222,0.672001
Defenders,Age2,-0.009374,0.000753,-12.4435,0.0,-0.010852,-0.007897
Defenders,Min_pct,0.004964,0.000627,7.9219,0.0,0.003735,0.006193
Defenders,team_press_intensity,0.124431,0.126268,0.9855,0.324514,-0.123191,0.372054
Defenders,tkl_above_system,-0.02624,0.03485,-0.7529,0.451579,-0.094584,0.042105
Defenders,int_above_system,0.017789,0.035705,0.4982,0.618376,-0.052231,0.087809
Defenders,NPGls_p90,0.47822,0.473849,1.0092,0.312983,-0.451039,1.407478
Defenders,Ast_p90,-0.03183,0.208024,-0.153,0.878404,-0.439784,0.376124
Defenders,NPSh_p90,0.052087,0.05162,1.009,0.313073,-0.049145,0.153319
Defenders,G_Sh,-0.259835,0.242843,-1.07,0.284754,-0.736072,0.216401
Defenders,G_Sh_zero,0.032055,0.089232,0.3592,0.719454,-0.142936,0.207047
Defenders,Fld_p90,-0.071995,0.03156,-2.2812,0.022637,-0.133888,-0.010102
Defenders,CrdY_p90,0.088471,0.098288,0.9001,0.368156,-0.10428,0.281223
Defenders,On_Off,0.00559,0.017741,0.3151,0.752704,-0.029201,0.040382
