model,variable,coef,se,t,pvalue,ci_lo,ci_hi
Forwards,Age,0.421413,0.058659,7.1841,0.0,0.30629,0.536537
Forwards,Age2,-0.006526,0.001069,-6.1073,0.0,-0.008623,-0.004429
Forwards,Min_pct,0.009102,0.001056,8.6198,0.0,0.00703,0.011174
Forwards,NPGls_p90,1.117595,0.405075,2.759,0.005915,0.322598,1.912592
Forwards,Ast_p90,0.38193,0.215922,1.7688,0.077259,-0.041837,0.805697
Forwards,SoT_p90,0.042534,0.132715,0.3205,0.74867,-0.217932,0.303
Forwards,G_Sh,-2.767415,0.978529,-2.8281,0.004786,-4.687869,-0.84696
Forwards,G_Sh_zero,0.545175,0.391961,1.3909,0.164601,-0.224086,1.314437
Forwards,SoT_pct,-0.000482,0.003216,-0.15,0.880816,-0.006794,0.005829
Forwards,Off_p90,0.161418,0.067329,2.3974,0.016713,0.029277,0.293558
Forwards,TklW_p90,-0.106061,0.073992,-1.4334,0.152085,-0.251277,0.039155
Forwards,Int_p90,-0.075314,0.111033,-0.6783,0.497752,-0.293227,0.142599
Forwards,CrdY_p90,-0.033817,0.135776,-0.2491,0.803369,-0.300291,0.232657
Forwards,On_Off,-0.059617,0.034561,-1.725,0.084876,-0.127447,0.008213
Forwards,Club_Wage_Rank_Pct,2.313076,0.088128,26.2469,0.0,2.140117,2.486034
