model,variable,coef,se,t,pvalue,ci_lo,ci_hi
Goalkeepers,Age,0.359008,0.075383,4.7625,3e-06,0.210906,0.507109
Goalkeepers,Age2,-0.004982,0.001276,-3.9041,0.000107,-0.00749,-0.002475
Goalkeepers,Min_pct,0.009413,0.001211,7.7742,0.0,0.007034,0.011792
Goalkeepers,Save_pct,0.002266,0.006354,0.3567,0.72149,-0.010217,0.01475
Goalkeepers,cs_per_shot_faced,0.052382,0.740903,0.0707,0.943664,-1.403236,1.508
Goalkeepers,sota_vs_avg,-0.301157,0.305355,-0.9863,0.32448,-0.901073,0.298759
Goalkeepers,ga_vs_league_avg,-0.039931,0.151485,-0.2636,0.792197,-0.337548,0.257685
Goalkeepers,Save_pct_PK,-0.003155,0.001589,-1.9859,0.047586,-0.006277,-3.4e-05
Goalkeepers,SavePct_PK_zero,-0.146253,0.111186,-1.3154,0.188971,-0.364694,0.072188
Goalkeepers,W_pct,0.41861,0.241773,1.7314,0.083986,-0.05639,0.893609
Goalkeepers,D_pct,-0.028712,0.224184,-0.1281,0.898143,-0.469157,0.411733
Goalkeepers,Club_Wage_Rank_Pct,1.718943,0.124067,13.8549,0.0,1.475193,1.962692
