model,variable,coef,se,t,pvalue,ci_lo,ci_hi
Midfielders,Age,0.564982,0.03477,16.2493,0.0,0.496806,0.633158
Midfielders,Age2,-0.008762,0.000639,-13.7109,0.0,-0.010015,-0.007509
Midfielders,Min_pct,0.005309,0.000555,9.5616,0.0,0.00422,0.006398
Midfielders,NPGls_p90,0.344336,0.224309,1.5351,0.124871,-0.095488,0.78416
Midfielders,Ast_p90,0.205668,0.124613,1.6505,0.098959,-0.038671,0.450007
Midfielders,SoT_p90,0.137237,0.062408,2.199,0.027955,0.014868,0.259606
Midfielders,G_Sh,-0.431028,0.235917,-1.827,0.067798,-0.893611,0.031555
Midfielders,G_Sh_zero,-0.056103,0.138191,-0.406,0.684787,-0.327067,0.214861
Midfielders,TklW_p90,-0.048814,0.030122,-1.6205,0.105227,-0.107878,0.010249
Midfielders,Int_p90,0.00538,0.035438,0.1518,0.879335,-0.064106,0.074867
Midfielders,Fls_p90,-0.037334,0.029277,-1.2752,0.202338,-0.09474,0.020072
Midfielders,Fld_p90,0.049936,0.021225,2.3527,0.018703,0.008319,0.091553
Midfielders,CrdY_p90,0.017682,0.0961,0.184,0.854027,-0.17075,0.206115
Midfielders,On_Off,-0.003419,0.011579,-0.2953,0.767816,-0.026122,0.019284
