quantile,variable,coef,model
0.1,Intercept,-0.056173,Defenders
0.1,Age,0.862476,Defenders
0.1,Age2,-0.013975,Defenders
0.1,Min_pct,0.004371,Defenders
0.1,NPGls_p90,-0.386095,Defenders
0.1,Ast_p90,0.385376,Defenders
0.1,NPSh_p90,0.15298,Defenders
0.1,G_Sh,-0.021721,Defenders
0.1,G_Sh_zero,-0.028064,Defenders
0.1,TklW_p90,0.01127,Defenders
0.1,Int_p90,0.019659,Defenders
0.1,Fls_p90,-0.049229,Defenders
0.1,Fld_p90,-0.105042,Defenders
0.1,CrdY_p90,0.279401,Defenders
0.1,On_Off,-0.025957,Defenders
0.25,Intercept,1.694155,Defenders
0.25,Age,0.759478,Defenders
0.25,Age2,-0.012364,Defenders
0.25,Min_pct,0.004857,Defenders
0.25,NPGls_p90,-0.285262,Defenders
0.25,Ast_p90,0.094036,Defenders
0.25,NPSh_p90,0.158041,Defenders
0.25,G_Sh,-0.027346,Defenders
0.25,G_Sh_zero,0.043616,Defenders
0.25,TklW_p90,0.03333,Defenders
0.25,Int_p90,0.028309,Defenders
0.25,Fls_p90,-0.028997,Defenders
0.25,Fld_p90,-0.12155,Defenders
0.25,CrdY_p90,0.134073,Defenders
0.25,On_Off,0.006256,Defenders
0.5,Intercept,3.737698,Defenders
0.5,Age,0.627286,Defenders
0.5,Age2,-0.010167,Defenders
0.5,Min_pct,0.004849,Defenders
0.5,NPGls_p90,-0.471052,Defenders
0.5,Ast_p90,-0.131157,Defenders
0.5,NPSh_p90,0.121861,Defenders
0.5,G_Sh,0.209601,Defenders
0.5,G_Sh_zero,0.02287,Defenders
0.5,TklW_p90,-0.007161,Defenders
0.5,Int_p90,0.033415,Defenders
0.5,Fls_p90,0.007233,Defenders
0.5,Fld_p90,-0.037045,Defenders
0.5,CrdY_p90,-0.012378,Defenders
0.5,On_Off,0.00131,Defenders
0.75,Intercept,7.001846,Defenders
0.75,Age,0.433481,Defenders
0.75,Age2,-0.006811,Defenders
0.75,Min_pct,0.00384,Defenders
0.75,NPGls_p90,0.807408,Defenders
0.75,Ast_p90,-0.075217,Defenders
0.75,NPSh_p90,0.025579,Defenders
0.75,G_Sh,-0.190341,Defenders
0.75,G_Sh_zero,0.05688,Defenders
0.75,TklW_p90,-0.026362,Defenders
0.75,Int_p90,0.009992,Defenders
0.75,Fls_p90,-0.064187,Defenders
0.75,Fld_p90,-0.019969,Defenders
0.75,CrdY_p90,0.19826,Defenders
0.75,On_Off,0.014759,Defenders
0.9,Intercept,11.634294,Defenders
0.9,Age,0.313789,Defenders
0.9,Age2,-0.004887,Defenders
0.9,Min_pct,0.00273,Defenders
0.9,NPGls_p90,0.696443,Defenders
0.9,Ast_p90,0.02212,Defenders
0.9,NPSh_p90,0.047653,Defenders
0.9,G_Sh,-0.170718,Defenders
0.9,G_Sh_zero,0.114434,Defenders
0.9,TklW_p90,0.011416,Defenders
0.9,Int_p90,0.014935,Defenders
0.9,Fls_p90,-0.021348,Defenders
0.9,Fld_p90,-0.070543,Defenders
0.9,CrdY_p90,0.073914,Defenders
0.9,On_Off,-0.004144,Defenders
0.1,Intercept,1.359171,Midfielders
0.1,Age,0.716621,Midfielders
0.1,Age2,-0.011144,Midfielders
0.1,Min_pct,0.007276,Midfielders
0.1,NPGls_p90,0.534211,Midfielders
0.1,Ast_p90,0.469019,Midfielders
0.1,SoT_p90,0.126759,Midfielders
0.1,G_Sh,-0.917641,Midfielders
0.1,G_Sh_zero,-0.284479,Midfielders
0.1,TklW_p90,-0.060146,Midfielders
0.1,Int_p90,-0.077351,Midfielders
0.1,Fls_p90,0.012471,Midfielders
0.1,Fld_p90,0.033347,Midfielders
0.1,CrdY_p90,-0.192354,Midfielders
0.1,On_Off,-0.010498,Midfielders
0.25,Intercept,2.001384,Midfielders
0.25,Age,0.698527,Midfielders
0.25,Age2,-0.010975,Midfielders
0.25,Min_pct,0.006111,Midfielders
0.25,NPGls_p90,0.670996,Midfielders
0.25,Ast_p90,0.390318,Midfielders
0.25,SoT_p90,0.145851,Midfielders
0.25,G_Sh,-0.79775,Midfielders
0.25,G_Sh_zero,-0.110191,Midfielders
0.25,TklW_p90,-0.085798,Midfielders
0.25,Int_p90,0.035383,Midfielders
0.25,Fls_p90,-0.016118,Midfielders
0.25,Fld_p90,0.046559,Midfielders
0.25,CrdY_p90,0.08074,Midfielders
0.25,On_Off,-0.009892,Midfielders
0.5,Intercept,4.854472,Midfielders
0.5,Age,0.553336,Midfielders
0.5,Age2,-0.00858,Midfielders
0.5,Min_pct,0.004977,Midfielders
0.5,NPGls_p90,0.662263,Midfielders
0.5,Ast_p90,0.120522,Midfielders
0.5,SoT_p90,0.111172,Midfielders
0.5,G_Sh,-0.629563,Midfielders
0.5,G_Sh_zero,-0.058268,Midfielders
0.5,TklW_p90,-0.077361,Midfielders
0.5,Int_p90,0.005555,Midfielders
0.5,Fls_p90,-0.035798,Midfielders
0.5,Fld_p90,0.037716,Midfielders
0.5,CrdY_p90,0.051913,Midfielders
0.5,On_Off,-0.001436,Midfielders
0.75,Intercept,7.406402,Midfielders
0.75,Age,0.468915,Midfielders
0.75,Age2,-0.007363,Midfielders
0.75,Min_pct,0.003253,Midfielders
