Player,Team,Comp,Season,position_group,Age,Annual_Wages_EUR,efficiency_score,panel_efficiency,eff_difference
Edimilson Fernandes,Mainz 05,Bundesliga,2023-2024,Defenders,27,1980000,0.4072073060648034,-0.2968310340977229,-0.7040383401625263
Edimilson Fernandes,Brest,Ligue 1,2024-2025,Defenders,28,1980000,1.0285062168131134,0.3244678766505871,-0.7040383401625263
Kiko Femenía,Villarreal,La Liga,2022-2023,Defenders,31,1000000,-0.6651361504908326,0.1788117181906834,0.8439478686815161
Kiko Femenía,Villarreal,La Liga,2023-2024,Defenders,32,1000000,-0.8875808152592022,-0.0436329465776861,0.8439478686815161
Kiko Femenía,Villarreal,La Liga,2024-2025,Defenders,33,1000000,-0.9791266402945134,-0.1351787716129973,0.8439478686815161
Ohis Felix Uduokhai,Augsburg,Bundesliga,2022-2023,Defenders,24,800000,0.4734724852013485,-0.0816601307633969,-0.5551326159647454
Ohis Felix Uduokhai,Augsburg,Bundesliga,2023-2024,Defenders,25,1500000,0.6367927467281422,0.0816601307633968,-0.5551326159647454
Federico Fazio,Salernitana,Serie A,2022-2023,Defenders,35,4630000,0.9326564579440432,-0.002825047825386,-0.9354815057694292
Federico Fazio,Salernitana,Serie A,2023-2024,Defenders,36,4630000,0.9383065535948152,0.0028250478253859,-0.9354815057694292
Davide Faraoni,Hellas Verona,Serie A,2022-2023,Defenders,30,930000,-0.0676794717353033,0.0618893286573015,0.1295688003926048
Davide Faraoni,Fiorentina,Serie A,2023-2024,Defenders,31,930000,-0.9060633680832186,-0.7764945676906138,0.1295688003926048
Davide Faraoni,Hellas Verona,Serie A,2024-2025,Defenders,32,930000,0.0137955345386586,0.1433643349312634,0.1295688003926048
Fali,Cádiz,La Liga,2022-2023,Defenders,28,500000,-0.1512454735052077,0.0157665447904633,0.167012018295671
Fali,Cádiz,La Liga,2023-2024,Defenders,29,780000,-0.0031102403333349,0.1639017779623361,0.167012018295671
Fábio,Nantes,Ligue 1,2022-2023,Defenders,32,780000,-0.038463225392558,0.1132924662028909,0.1517556915954489
Jonny Evans,Leicester City,Premier League,2022-2023,Defenders,34,6044330,0.6983914508456586,0.9430630154384728,0.2446715645928142
Jonny Evans,Manchester Utd,Premier League,2023-2024,Defenders,35,4000860,-0.8083609423028335,-0.5636893777100193,0.2446715645928142
Jonny Evans,Manchester Utd,Premier League,2024-2025,Defenders,36,4004445,-0.6240452023212679,-0.3793736377284536,0.2446715645928142
Pervis Estupiñán,Brighton,Premier League,2023-2024,Defenders,25,3077584,0.3169063097979752,0.1776465381751386,-0.1392597716228365
Pervis Estupiñán,Brighton,Premier League,2024-2025,Defenders,26,3080342,-0.0519275826674849,-0.1911873542903214,-0.1392597716228365
Alfonso Espino,Cádiz,La Liga,2022-2023,Defenders,30,500000,-0.4397727220429956,-0.3701269241172552,0.0696457979257403
Alfonso Espino,Rayo Vallecano,La Liga,2023-2024,Defenders,31,580000,0.0257183753129357,0.0953641732386761,0.0696457979257404
Alfonso Espino,Rayo Vallecano,La Liga,2024-2025,Defenders,32,580000,0.2051169529528387,0.2747627508785791,0.0696457979257404
Sergio Escudero,Valladolid,La Liga,2022-2023,Defenders,32,780000,0.013317281660182,0.1016997877448985,0.0883825060847165
Martin Erlic,Sassuolo,Serie A,2022-2023,Defenders,24,280000,-0.8905082616557163,-0.2106880204129483,0.679820241242768
Martin Erlic,Sassuolo,Serie A,2023-2024,Defenders,25,280000,-1.1178377064466911,-0.4380174652039231,0.679820241242768
Martin Erlic,Bologna,Serie A,2024-2025,Defenders,26,930000,-0.0311147556258966,0.6487054856168714,0.679820241242768
Arne Engels,Augsburg,Bundesliga,2023-2024,Defenders,19,120000,-0.6345844733309658,0.1203120948830562,0.7548965682140221
Yannik Engelhardt,Como,Serie A,2024-2025,Defenders,23,930000,0.7393971687776002,0.2495934997700555,-0.4898036690075447
Emerson,Tottenham Hotspur,Premier League,2022-2023,Defenders,23,2417732,-0.3745214855354586,-0.1951932632488367,0.1793282222866219
Emerson,Tottenham Hotspur,Premier League,2023-2024,Defenders,24,2462068,-0.4227128493774685,-0.2433846270908466,0.1793282222866219
Emerson,Milan,Serie A,2024-2025,Defenders,25,4630000,0.4420170488452495,0.6213452711318714,0.1793282222866219
Nico Elvedi,Gladbach,Bundesliga,2022-2023,Defenders,25,1600000,-0.2689447646862941,-0.3938919593827959,-0.1249471946965018
Nico Elvedi,Gladbach,Bundesliga,2023-2024,Defenders,26,3500000,0.3511331986358108,0.2261860039393089,-0.1249471946965018
Nico Elvedi,Gladbach,Bundesliga,2024-2025,Defenders,27,3500000,0.2926531501399889,0.167705955443487,-0.1249471946965018
Aritz Elustondo,Real Sociedad,La Liga,2022-2023,Defenders,28,1850000,0.1267346255013208,-0.0582153581974829,-0.1849499836988037
Aritz Elustondo,Real Sociedad,La Liga,2023-2024,Defenders,29,2200000,0.3004694272704178,0.115519443571614,-0.1849499836988037
Aritz Elustondo,Real Sociedad,La Liga,2024-2025,Defenders,30,2200000,0.1276458983246726,-0.0573040853741311,-0.1849499836988037
Jacques Ekomie,Angers,Ligue 1,2024-2025,Defenders,20,360000,0.999406816460505,0.1142185410704694,-0.8851882753900355
Kingsley Ehizibue,Udinese,Serie A,2024-2025,Defenders,29,900000,-0.3980903346319326,-0.209968103007887,0.1881222316240456
Tyronne Ebuehi,Empoli,Serie A,2022-2023,Defenders,26,640000,-0.0783135739420899,0.0086974783784867,0.0870110523205766
Tyronne Ebuehi,Empoli,Serie A,2023-2024,Defenders,27,640000,-0.0957085306990634,-0.0086974783784867,0.0870110523205766
Enzo Ebosse,Udinese,Serie A,2022-2023,Defenders,23,1030000,0.6592909176193533,0.0739761558100328,-0.5853147618093205
Enzo Ebosse,Udinese,Serie A,2024-2025,Defenders,25,1030000,0.2391982138942179,-0.3461165479151026,-0.5853147618093205
Jean-Kevin Duverne,Brest,Ligue 1,2022-2023,Defenders,25,220000,-0.851649101050846,-0.4639168351411603,0.3877322659096857
Jean-Kevin Duverne,Nantes,Ligue 1,2023-2024,Defenders,26,620000,-0.1356213900719236,0.2521108758377621,0.3877322659096857
Jean-Kevin Duverne,Nantes,Ligue 1,2024-2025,Defenders,27,620000,-0.1759263066062875,0.2118059593033982,0.3877322659096857
Lewis Dunk,Brighton,Premier League,2022-2023,Defenders,30,4533248,0.1158236125241796,-0.0091681302627086,-0.1249917427868882
Lewis Dunk,Brighton,Premier League,2023-2024,Defenders,31,4924135,0.0697457847824747,-0.0552459580044134,-0.1249917427868882
Lewis Dunk,Brighton,Premier League,2024-2025,Defenders,32,4928548,0.1894058310540103,0.0644140882671221,-0.1249917427868882
Domingos Duarte,Getafe,La Liga,2022-2023,Defenders,27,1080000,0.2453342126223248,-0.0116985566417279,-0.2570327692640528
Domingos Duarte,Getafe,La Liga,2023-2024,Defenders,28,1080000,0.3486040386689328,0.09157126940488,-0.2570327692640528
Domingos Duarte,Getafe,La Liga,2024-2025,Defenders,29,1080000,0.1771600565009006,-0.0798727127631521,-0.2570327692640528
Souleyman Doumbia,Angers,Ligue 1,2022-2023,Defenders,25,680000,0.6711386100410284,0.0187146921268466,-0.6524239179141818
Ismaël Doukouré,Strasbourg,Ligue 1,2022-2023,Defenders,19,400000,0.5964605770879832,0.420704902286837,-0.1757556748011461
Ismaël Doukouré,Strasbourg,Ligue 1,2023-2024,Defenders,20,400000,0.3001829730101182,0.124427298208972,-0.1757556748011461
Ismaël Doukouré,Strasbourg,Ligue 1,2024-2025,Defenders,21,400000,-0.0480047045782505,-0.2237603793793967,-0.1757556748011461
Alfie Doughty,Luton Town,Premier League,2023-2024,Defenders,23,461638,-0.6799909162090607,-0.0419932324926604,0.6379976837164003
Guela Doué,Rennes,Ligue 1,2023-2024,Defenders,20,150000,-0.7461400771641546,-0.8739451417973818,-0.1278050646332271
Guela Doué,Strasbourg,Ligue 1,2024-2025,Defenders,21,900000,0.672562683479601,0.5447576188463739,-0.1278050646332271
Alberto Dossena,Cagliari,Serie A,2023-2024,Defenders,24,740000,-0.1446764909991795,-0.5800058162271755,-0.435329325227996
Alberto Dossena,Como,Serie A,2024-2025,Defenders,25,1850000,1.0153351414551717,0.5800058162271756,-0.435329325227996
Patrick Dorgu,Lecce,Serie A,2023-2024,Defenders,18,120000,-0.5238572992725228,-0.5425556027907531,-0.0186983035182303
Patrick Dorgu,Lecce,Serie A,2024-2025,Defenders,19,650000,0.7850431925814583,0.766344889063228,-0.0186983035182303
Giulio Donati,Monza,Serie A,2022-2023,Defenders,32,350000,-1.2965598258286928,-0.2511025636442534,1.0454572621844394
Carlos Dominguez,Celta Vigo,La Liga,2022-2023,Defenders,21,300000,-0.1638803289122972,0.8024733727306957,0.966353701642993
Carlos Dominguez,Celta Vigo,La Liga,2023-2024,Defenders,22,150000,-1.2928206068195571,-0.3264669051765642,0.966353701642993
Carlos Dominguez,Celta Vigo,La Liga,2024-2025,Defenders,23,150000,-1.4423601691971246,-0.4760064675541317,0.966353701642993
Matt Doherty,Wolves,Premier League,2023-2024,Defenders,31,3077584,0.4405774278744427,0.4078714137519576,-0.032706014122485
Matt Doherty,Wolves,Premier League,2024-2025,Defenders,32,3080342,0.2127735545101767,0.1800675403876916,-0.032706014122485
Danilho Doekhi,Union Berlin,Bundesliga,2022-2023,Defenders,24,600000,-0.3096757735077684,0.0941837736193615,0.40385954712713
Danilho Doekhi,Union Berlin,Bundesliga,2023-2024,Defenders,25,600000,-0.4980433207464916,-0.0941837736193615,0.40385954712713
Dodô,Fiorentina,Serie A,2022-2023,Defenders,23,1920000,0.3008748959915355,0.2923648271882411,-0.0085100688032944
Dodô,Fiorentina,Serie A,2023-2024,Defenders,24,1920000,0.3373605893036089,0.3288505205003145,-0.0085100688032944
Dodô,Fiorentina,Serie A,2024-2025,Defenders,25,1920000,-0.2625771966709926,-0.271087265474287,-0.0085100688032944
Berat Djimsiti,Atalanta,Serie A,2022-2023,Defenders,29,1480000,-0.1123904026795976,0.2105857677582978,0.3229761704378954
Berat Djimsiti,Atalanta,Serie A,2023-2024,Defenders,30,1480000,-0.4145480210529939,-0.0915718506150984,0.3229761704378954
Berat Djimsiti,Atalanta,Serie A,2024-2025,Defenders,31,1480000,-0.4419900875810949,-0.1190139171431994,0.3229761704378954
Koffi Djidji,Torino,Serie A,2022-2023,Defenders,29,1150000,-0.3067166748943304,-0.0430055024337514,0.2637111724605789
Koffi Djidji,Torino,Serie A,2023-2024,Defenders,30,1150000,-0.2207056700268275,0.0430055024337514,0.2637111724605789
Moussa Djenepo,Southampton,Premier League,2022-2023,Defenders,24,3928815,1.3387334066311831,0.2839462833092534,-1.0547871233219297
Djené,Getafe,La Liga,2022-2023,Defenders,30,2200000,0.8209223590766399,0.2421907688176485,-0.5787315902589913
Djené,Getafe,La Liga,2023-2024,Defenders,31,2200000,0.7635238862190494,0.184792295960058,-0.5787315902589913
Djené,Getafe,La Liga,2024-2025,Defenders,32,2200000,0.6660931493290292,0.0873615590700378,-0.5787315902589913
Axel Disasi,Monaco,Ligue 1,2022-2023,Defenders,24,720000,-1.221006916264093,-0.2455373818910446,0.9754695343730484
Axel Disasi,Chelsea,Premier League,2023-2024,Defenders,25,4924135,-0.7299321524820037,0.2455373818910446,0.9754695343730484
Issa Diop,Fulham,Premier League,2022-2023,Defenders,25,4231031,0.6006733046558228,0.1629830515353152,-0.4376902531205076
Issa Diop,Fulham,Premier League,2023-2024,Defenders,26,4308618,0.426009178895713,-0.0116810742247945,-0.4376902531205076
Issa Diop,Fulham,Premier League,2024-2025,Defenders,27,4312479,0.2863882758099869,-0.1513019773105207,-0.4376902531205076
Sinaly Diomande,Lyon,Ligue 1,2022-2023,Defenders,21,610000,-0.1316542248304326,-0.2696774456124124,-0.1380232207819798
Sinaly Diomande,Lyon,Ligue 1,2023-2024,Defenders,22,610000,-0.2942244855967146,-0.4322477063786945,-0.1380232207819798
Sinaly Diomande,Auxerre,Ligue 1,2024-2025,Defenders,23,820000,0.8399483727730868,0.7019251519911069,-0.1380232207819798
Tristan Dingomé,Troyes,Ligue 1,2022-2023,Defenders,31,660000,0.2398864026411811,-0.0138127857167216,-0.2536991883579027
Federico Dimarco,Inter,Serie A,2022-2023,Defenders,24,2960000,-0.0685098134239385,-0.1465427822306266,-0.0780329688066881
Lucas Digne,Aston Villa,Premier League,2023-2024,Defenders,30,7386203,0.1348874675720619,0.0325001523832124,-0.1023873151888494
Lucas Digne,Aston Villa,Premier League,2024-2025,Defenders,31,7392822,0.069887162805637,-0.0325001523832124,-0.1023873151888494
Eric Dier,Tottenham Hotspur,Premier League,2022-2023,Defenders,28,5137681,-0.428969035842389,0.2607007798630931,0.6896698157054821
Eric Dier,Bayern Munich,Bundesliga,2024-2025,Defenders,30,5000000,-0.9503705955685752,-0.260700779863093,0.6896698157054821
Krépin Diatta,Monaco,Ligue 1,2023-2024,Defenders,24,3000000,0.5489191569505127,-0.1351743684147625,-0.6840935253652752
Krépin Diatta,Monaco,Ligue 1,2024-2025,Defenders,25,3000000,0.4156784356472194,-0.2684150897180558,-0.6840935253652752
Rúben Dias,Manchester City,Premier League,2022-2023,Defenders,25,10879794,0.3247923859475712,0.1301941627222941,-0.1945982232252771
Rúben Dias,Manchester City,Premier League,2023-2024,Defenders,26,11079304,0.0928129951155369,-0.1017852281097402,-0.1945982232252771
Rúben Dias,Manchester City,Premier League,2024-2025,Defenders,27,11089233,-0.0802475700446052,-0.2748457932698823,-0.1945982232252771
Moussa Diarra,Toulouse,Ligue 1,2022-2023,Defenders,21,70000,-1.0298947657766444,-0.3980070136057018,0.6318877521709426
Moussa Diarra,Toulouse,Ligue 1,2023-2024,Defenders,22,120000,-0.8409665203237324,-0.2090787681527898,0.6318877521709426
Moussa Diarra,Alavés,La Liga,2024-2025,Defenders,23,350000,-0.0248019704124509,0.6070857817584917,0.6318877521709426
Bafodé Diakité,Lille,Ligue 1,2022-2023,Defenders,21,360000,-0.4576733413065224,-0.2283400816642184,0.2293332596423039
Bafodé Diakité,Lille,Ligue 1,2023-2024,Defenders,22,360000,-0.6635814402586071,-0.4342481806163031,0.229333259642304
Bafodé Diakité,Lille,Ligue 1,2024-2025,Defenders,23,1560000,0.4332550026382176,0.6625882622805216,0.229333259642304
Mouctar Diakhaby,Valencia,La Liga,2022-2023,Defenders,25,800000,-0.7328935515370336,-1.1677989637533193,-0.4349054122162856
Mouctar Diakhaby,Valencia,La Liga,2023-2024,Defenders,26,4000000,0.862999851725494,0.4280944395092083,-0.4349054122162856
Mouctar Diakhaby,Valencia,La Liga,2024-2025,Defenders,27,4000000,0.6893475696631217,0.254442157446836,-0.4349054122162856
Alessandro Di Pardo,Cagliari,Serie A,2023-2024,Defenders,24,280000,-0.7710002404414649,0.0110921250131328,0.7820923654545977
Giovanni Di Lorenzo,Napoli,Serie A,2022-2023,Defenders,28,4440000,0.2106089276776419,-0.0486938217693111,-0.259302749446953
Giovanni Di Lorenzo,Napoli,Serie A,2023-2024,Defenders,29,5560000,0.3071381248888052,0.0478353754418521,-0.259302749446953
Giovanni Di Lorenzo,Napoli,Serie A,2024-2025,Defenders,30,5560000,0.2601611957744119,0.0008584463274588,-0.259302749446953
Mikkel Desler,Toulouse,Ligue 1,2022-2023,Defenders,27,600000,0.1018549966099264,0.0460937748679519,-0.0557612217419745
