Player,eff_s1,eff_s2,eff_s3,eff_delta,trajectory_type,position,team_s3,age_s3,wage_s1,wage_s3
Aaron Cresswell,-0.3315939634691531,-0.1139911965239477,-0.2375426848719399,0.09405127859721318,Other,Defenders,West Ham United,34,3022165,3080342
Aaron Wan-Bissaka,-0.0956205762936281,-0.3001579526607774,0.3283800362590678,0.42400061255269594,Wage Trap,Midfielders,West Ham United,26,5439897,5544616
Aarón Martín,0.6151770033738,0.4659157277412475,0.0558280647991278,-0.5593489385746722,Rising Star,Midfielders,Genoa,27,2000000,1280000
Abdou Harroui,-1.690063519317162,-0.097122932220218,-0.0326358100798156,1.6574277092373464,Wage Trap,Midfielders,Hellas Verona,26,120000,770000
Abdoulaye Doucouré,0.5368535436286095,0.2523026873207996,0.2585783021033752,-0.2782752415252343,Other,Midfielders,Everton,31,7253196,8008890
Abdul Mumin,0.315313354091046,0.0119668632862133,-0.244670889054781,-0.559984243145827,Rising Star,Defenders,Rayo Vallecano,26,350000,350000
Abdón Prats,-1.209248801211542,-1.1063754691030443,-0.6458248624455258,0.5634239387660163,Wage Trap,Forwards,Mallorca,31,230000,520000
Achraf Hakimi,1.0610526217411105,0.7566880576379695,0.5624283794240306,-0.4986242423170799,Rising Star,Defenders,Paris Saint-Germain,25,14550000,14550000
Adam Hložek,0.4971719360570077,0.2463963699487195,0.4289038613959572,-0.0682680746610505,Other,Forwards,Hoffenheim,22,1880000,2830000
Adam Lallana,0.4567014992138603,0.3908529928266109,-0.1660462636634943,-0.6227477628773546,Rising Star,Midfielders,Southampton,36,5439897,2772308
Adam Marušić,-0.6919509562349155,-0.8304202911568588,0.0393302387726155,0.7312811950075311,Wage Trap,Defenders,Lazio,31,1670000,4070000
Adam Masina,0.3815542791184469,-0.1745481705359921,-0.2810363008039545,-0.6625905799224014,Rising Star,Defenders,Torino,30,1150000,1280000
Adam Smith,-0.5689884290306182,-0.5012497526356441,-0.3675079998927124,0.20148042913790581,Persistent Bargain,Defenders,Bournemouth,33,2115516,2464274
Adam Webster,0.1165394270457902,0.0970298094917208,-0.0007015558224381,-0.1172409828682283,Stable / Fair,Defenders,Brighton,29,3324382,3388377
Adama Traoré,0.1471852584691877,0.1697022320769026,0.0421322476352319,-0.1050530108339558,Stable / Fair,Midfielders,Fulham,28,3324382,4004445
Ademola Lookman,-0.0052855341840505,-0.4605124358849259,-0.0930101279227191,-0.08772459373866859,Other,Midfielders,Atalanta,26,2310000,2310000
Adrien Rabiot,0.6001138096681515,0.4621314270509984,0.3000825670062106,-0.3000312426619409,Persistent Overvalued,Midfielders,Marseille,29,8970000,6360000
Adrien Tameze,-0.461822467432821,-0.2640229902574447,-0.1879460098042997,0.2738764576285213,Other,Midfielders,Torino,30,640000,1280000
Adrien Truffert,-0.6688951773630976,0.802287109619467,0.4763623188806374,1.145257496243735,Wage Trap,Midfielders,Rennes,22,150000,1000000
Adrià Pedrosa,0.3050987476380982,-0.6572270398571174,-1.0130998595347744,-1.3181986071728726,Rising Star,Defenders,Sevilla,26,500000,1100000
Aihen Muñoz,-0.1996341096915426,-0.358602383429174,-0.5486272170416822,-0.34899310735013955,Other,Defenders,Real Sociedad,26,860000,860000
Aimar Oroz,0.2560843879700165,-0.0002424175750128,0.5209011508211496,0.26481676285113315,Other,Midfielders,Osasuna,22,360000,950000
Ainsley Maitland-Niles,0.4787305493867855,0.4435428073820819,0.1669970427236613,-0.31173350666312416,Other,Midfielders,Lyon,26,2115516,2200000
Aitor Fernández,0.505727078617797,0.1330321880291389,0.5662631889997716,0.060536110381974595,Other,Goalkeepers,Osasuna,33,1500000,840000
Aitor Paredes,-1.4411723731503407,-1.9344321144699883,0.1722745681661397,1.6134469413164805,Wage Trap,Defenders,Athletic Club,24,150000,1250000
Aitor Ruibal,-0.7571440640624729,-0.9298096805989856,-0.3841827043830861,0.3729613596793868,Persistent Bargain,Midfielders,Real Betis,28,600000,1200000
Alassane Pléa,0.5178613726468839,0.3262800848400378,0.2234824727748048,-0.2943788998720791,Other,Midfielders,Gladbach,31,4720000,4720000
Alban Lafont,0.2310103632797862,0.3798683458402134,1.1464750001977784,0.9154646369179922,Wage Trap,Goalkeepers,Nantes,25,1020000,1500000
Alberto Grassi,0.6898530461661583,0.0227648278836856,-0.0928212269711892,-0.7826742731373475,Rising Star,Midfielders,Empoli,29,1670000,1300000
Alberto Moreno,-0.4108065490834587,-0.5392021301206267,0.2492438673207377,0.6600504164041964,Wage Trap,Defenders,Como,32,1400000,1300000
Aleix García,-0.8273029413984716,-0.101055728194316,0.3468267546767176,1.1741296960751892,Wage Trap,Midfielders,Leverkusen,27,420000,4720000
Alejandro Balde,-2.3971486762379595,-0.2020246573808499,-0.6120359411542307,1.7851127350837288,Wage Trap,Defenders,Barcelona,20,160000,1670000
Alejandro Garnacho,0.4424161226760024,-0.0795483080494001,-0.3174867978540163,-0.7599029205300187,Rising Star,Midfielders,Manchester Utd,20,3022165,3080342
Aleksandr Golovin,0.5444017461983606,0.563865437960061,0.9221144950837132,0.37771274888535267,Persistent Overvalued,Midfielders,Monaco,28,3600000,5750000
Alessandro Bastoni,0.7110267677652864,1.1812508559706671,0.9772309021733712,0.26620413440808477,Persistent Overvalued,Defenders,Inter,25,5190000,10190000
Alessandro Buongiorno,-0.7494956282872582,0.3652565162818444,0.6220898823534622,1.3715855106407204,Wage Trap,Defenders,Napoli,25,410000,4630000
Alessandro Zanoli,0.5842661691509505,-0.1585374730943858,-0.1368066028701875,-0.7210727720211381,Rising Star,Midfielders,Genoa,23,740000,740000
Alessio Romagnoli,0.6526395395330358,0.5466775494844764,0.3090499186958286,-0.3435896208372072,Persistent Overvalued,Defenders,Lazio,29,5560000,5190000
Alex Baena,0.6317842441644999,0.1982649476209488,0.0197682355896748,-0.6120160085748251,Rising Star,Midfielders,Villarreal,23,2000000,2000000
Alex Král,0.3915488725152016,0.6146924296248546,0.7771888398929931,0.38563996737779155,Persistent Overvalued,Midfielders,Espanyol,26,1790000,1980000
Alex Meret,0.1972612568946274,0.3594875289684207,0.3518505730153141,0.1545893161206867,Other,Goalkeepers,Napoli,27,2780000,3700000
Alexander Meyer,-1.1404921478226786,-1.3564339578425135,-0.4319460916857309,0.7085460561369477,Wage Trap,Goalkeepers,Dortmund,33,570000,1140000
Alexander Nübel,0.9912756625530276,1.051738328084488,0.7852691540712495,-0.20600650848177804,Persistent Overvalued,Goalkeepers,Stuttgart,27,5000000,3500000
Alexander Schwolow,-0.4503829496351237,0.3824539081956022,0.1311547824007082,0.5815377320358319,Wage Trap,Goalkeepers,Union Berlin,32,880000,900000
Alexandre Lacazette,-0.0832590309877581,0.3088700860606188,0.1352739845956776,0.21853301558343569,Other,Forwards,Lyon,33,5400000,6000000
