trajectory_type,position,n_players,mean_eff_s1,mean_eff_s3,mean_eff_delta
Other,Defenders,83,0.033063945407808916,-0.025348464712074994,-0.058412410119883906
Other,Forwards,37,0.05804430397346753,0.08590148325283274,0.027857179279365207
Other,Goalkeepers,22,0.1131674390235584,0.08387286536211867,-0.029294573661439716
Other,Midfielders,126,0.10339486458811194,0.06495677778963996,-0.03843808679847198
Persistent Bargain,Defenders,16,-0.6882301926479704,-0.7025904480056581,-0.014360255357687698
Persistent Bargain,Forwards,5,-0.9146379636607609,-0.7887446062154251,0.12589335744533586
Persistent Bargain,Goalkeepers,6,-0.6393409172569072,-0.631484308013683,0.00785660924322415
Persistent Bargain,Midfielders,22,-0.6498564677497832,-0.7223274132389641,-0.07247094548918089
Persistent Overvalued,Defenders,28,0.661229278886853,0.6037415549136868,-0.05748772397316631
Persistent Overvalued,Forwards,11,0.8061239658444507,0.8604816497226192,0.0543576838781685
Persistent Overvalued,Goalkeepers,11,0.8207473216390905,0.8033556486380706,-0.017391673001019903
Persistent Overvalued,Midfielders,44,0.684547307359293,0.6290980571701872,-0.05544925018910591
Rising Star,Defenders,71,0.5455708034997038,-0.1696670868221163,-0.7152378903218201
Rising Star,Forwards,21,0.6094034196894169,-0.19087898886553625,-0.800282408554953
Rising Star,Goalkeepers,18,0.3981071064255039,-0.42912793003039845,-0.8272350364559024
Rising Star,Midfielders,138,0.36194594253011975,-0.26727402432698366,-0.6292199668571035
Stable / Fair,Defenders,18,0.04431126115977681,-0.030168858458083234,-0.07448011961786004
Stable / Fair,Forwards,7,-0.009183314199371184,-0.007224335241058271,0.001958978958312913
Stable / Fair,Goalkeepers,3,0.012398011370582504,-0.008883075839287734,-0.021281087209870236
Stable / Fair,Midfielders,24,0.03218554999600944,-0.03318657875908851,-0.06537212875509794
Wage Trap,Defenders,59,-0.5931378122097354,0.3805959776880729,0.9737337898978082
Wage Trap,Forwards,18,-0.6401423463516452,0.41238220366390643,1.0525245500155518
Wage Trap,Goalkeepers,17,-0.5820197672911438,0.22745264355907735,0.8094724108502211
Wage Trap,Midfielders,109,-0.6839838487879377,0.37985498220614394,1.0638388309940816
