model,variable,hc3_se,boot_se,ratio_boot_hc3,flagged
Defenders,Age,0.041516,0.032457,0.7818,True
Defenders,Age2,0.000754,0.000611,0.8109,False
Defenders,Min_pct,0.000635,0.000706,1.1107,False
Defenders,NPGls_p90,0.473385,0.420228,0.8877,False
Defenders,Ast_p90,0.208165,0.207216,0.9954,False
Defenders,NPSh_p90,0.051769,0.05128,0.9905,False
Defenders,G_Sh,0.242939,0.234224,0.9641,False
Defenders,G_Sh_zero,0.089352,0.098391,1.1012,False
Defenders,TklW_p90,0.035579,0.045658,1.2833,True
Defenders,Int_p90,0.034364,0.037933,1.1039,False
Defenders,Fls_p90,0.039149,0.040768,1.0414,False
Defenders,Fld_p90,0.031859,0.037136,1.1656,False
Defenders,CrdY_p90,0.102252,0.098755,0.9658,False
Defenders,On_Off,0.017742,0.017566,0.99,False
Midfielders,Age,0.03477,0.02606,0.7495,True
Midfielders,Age2,0.000639,0.000473,0.7398,True
Midfielders,Min_pct,0.000555,0.000556,1.002,False
Midfielders,NPGls_p90,0.224309,0.210943,0.9404,False
Midfielders,Ast_p90,0.124613,0.110587,0.8875,False
Midfielders,SoT_p90,0.062408,0.05098,0.8169,False
Midfielders,G_Sh,0.235917,0.249202,1.0563,False
Midfielders,G_Sh_zero,0.138191,0.128506,0.9299,False
Midfielders,TklW_p90,0.030122,0.031582,1.0484,False
Midfielders,Int_p90,0.035438,0.039601,1.1175,False
Midfielders,Fls_p90,0.029277,0.030504,1.0419,False
Midfielders,Fld_p90,0.021225,0.024169,1.1387,False
Midfielders,CrdY_p90,0.0961,0.087416,0.9096,False
Midfielders,On_Off,0.011579,0.012496,1.0793,False
Forwards,Age,0.058659,0.065681,1.1197,False
Forwards,Age2,0.001069,0.001201,1.1237,False
Forwards,Min_pct,0.001056,0.001106,1.047,False
Forwards,NPGls_p90,0.405075,0.450252,1.1115,False
Forwards,Ast_p90,0.215922,0.220744,1.0223,False
Forwards,SoT_p90,0.132715,0.149199,1.1242,False
Forwards,G_Sh,0.978529,1.120882,1.1455,False
Forwards,G_Sh_zero,0.195981,0.150029,0.7655,True
Forwards,SoT_pct,0.003216,0.003666,1.14,False
Forwards,SoTPct_zero,0.195981,0.150029,0.7655,True
Forwards,Off_p90,0.067329,0.082178,1.2205,True
Forwards,TklW_p90,0.073992,0.066976,0.9052,False
Forwards,Int_p90,0.111033,0.116356,1.0479,False
Forwards,CrdY_p90,0.135776,0.128148,0.9438,False
Forwards,On_Off,0.034561,0.036442,1.0544,False
Forwards,Club_Wage_Rank_Pct,0.088128,0.090608,1.0281,False
Goalkeepers,Age,0.075824,0.104413,1.377,True
Goalkeepers,Age2,0.001283,0.001749,1.3637,True
Goalkeepers,Min_pct,0.001213,0.001334,1.1001,False
Goalkeepers,Save_pct,0.005591,0.004867,0.8705,False
Goalkeepers,CS_p90,0.283657,0.239496,0.8443,False
Goalkeepers,GA_p90,0.156691,0.125347,0.8,True
Goalkeepers,SoTA_p90,0.062092,0.051191,0.8244,False
Goalkeepers,Save_pct_PK,0.001565,0.001322,0.8449,False
Goalkeepers,SavePct_PK_zero,0.110128,0.082769,0.7516,True
Goalkeepers,W_pct,0.243174,0.209574,0.8618,False
Goalkeepers,D_pct,0.224103,0.21657,0.9664,False
Goalkeepers,Club_Wage_Rank_Pct,0.123549,0.147188,1.1913,False
