feature,vif,position_group
Age,3.7775517492689423,Defenders
Age2,7.008163895693755,Defenders
Min_pct,1.2723454754382058,Defenders
NPGls_p90,3.7093854513358524,Defenders
Ast_p90,1.1285579543710624,Defenders
NPSh_p90,1.8757103547585163,Defenders
G_Sh,3.1500164744950605,Defenders
G_Sh_zero,1.3181514304197282,Defenders
TklW_p90,1.1933248931798457,Defenders
Int_p90,1.0639247710805297,Defenders
Fls_p90,1.391002225513634,Defenders
Fld_p90,1.1538936074052888,Defenders
CrdY_p90,1.2649974084726126,Defenders
On_Off,1.1077786309564637,Defenders
Age,3.502331044743255,Midfielders
Age2,6.674973344833848,Midfielders
Min_pct,1.1984513112093458,Midfielders
NPGls_p90,4.508855453020029,Midfielders
Ast_p90,1.1757287108533707,Midfielders
SoT_p90,2.5244593244335105,Midfielders
G_Sh,2.5604839700230175,Midfielders
G_Sh_zero,1.0648321005484922,Midfielders
TklW_p90,1.3019303581615775,Midfielders
Int_p90,1.318314960469685,Midfielders
Fls_p90,1.540113341120688,Midfielders
Fld_p90,1.1061993136695771,Midfielders
CrdY_p90,1.3942724310939403,Midfielders
On_Off,1.091236207339012,Midfielders
Age,3.1595075852814967,Forwards
Age2,5.950258248243708,Forwards
Min_pct,1.2599544689627902,Forwards
NPGls_p90,14.477799413084051,Forwards
Ast_p90,1.1769610896253768,Forwards
SoT_p90,5.93859019515851,Forwards
G_Sh,10.555722316509845,Forwards
G_Sh_zero,inf,Forwards
SoT_pct,3.0940562265618454,Forwards
SoTPct_zero,inf,Forwards
Off_p90,1.1250142368869545,Forwards
TklW_p90,1.2792256884186117,Forwards
Int_p90,1.1987572847878416,Forwards
CrdY_p90,1.1605547016068354,Forwards
On_Off,1.1620523865907368,Forwards
Club_Wage_Rank_Pct,1.2457874211959445,Forwards
Age,20.349585109144407,Goalkeepers
Age2,22.524533643872164,Goalkeepers
Min_pct,2.0027853265461517,Goalkeepers
Save_pct,3.5119324844760103,Goalkeepers
CS_p90,2.076957193284905,Goalkeepers
GA_p90,7.5010316546584,Goalkeepers
SoTA_p90,4.067351068053836,Goalkeepers
Save_pct_PK,1.1706440935038323,Goalkeepers
SavePct_PK_zero,2.1624853862932327,Goalkeepers
W_pct,2.456273518054479,Goalkeepers
D_pct,1.519056384618325,Goalkeepers
Club_Wage_Rank_Pct,1.3562808706284062,Goalkeepers
