target_team,season,club_annual_eur,position_group,suggested_player,current_team,comp,current_wage_EUR,efficiency_score,efficiency_pct,wage_as_pct_of_bill,value_rating
Real Madrid,2024-2025,272960000,Defenders,César Tárrega,Valencia,La Liga,200000,-1.8669456043403798,-84.5404863873175,0.0007327080890973036,Exceptional
Real Madrid,2024-2025,272960000,Defenders,Nicolò Savona,Juventus,Serie A,370000,-1.6975365209301803,-81.68658841254761,0.0013555099648300116,Exceptional
Real Madrid,2024-2025,272960000,Defenders,Alessio Iovine,Como,Serie A,150000,-1.6531003559921995,-80.85445924056243,0.0005495310668229777,Exceptional
Real Madrid,2024-2025,272960000,Defenders,Iglesias,Getafe,La Liga,180000,-1.5587960024766172,-78.96107731211129,0.0006594372801875733,Exceptional
Real Madrid,2024-2025,272960000,Defenders,Reinildo Mandava,Atlético Madrid,La Liga,800000,-1.5076504523788277,-77.85703732967337,0.0029308323563892145,Exceptional
Real Madrid,2024-2025,272960000,Midfielders,Pablo Torre,Barcelona,La Liga,210000,-3.060094488817752,-95.31167349335968,0.0007693434935521688,Exceptional
Real Madrid,2024-2025,272960000,Midfielders,Seydouba Cissé,Leganés,La Liga,30000,-2.321144410175787,-90.1838815358345,0.00010990621336459555,Exceptional
Real Madrid,2024-2025,272960000,Midfielders,Andy Irving,West Ham United,Premier League,308034,-2.0736692443011027,-87.42763763514388,0.0011284950175849942,Exceptional
Real Madrid,2024-2025,272960000,Midfielders,Toby Collyer,Manchester Utd,Premier League,308034,-1.9478365312489494,-85.74177897014765,0.0011284950175849942,Exceptional
Real Madrid,2024-2025,272960000,Midfielders,Marc Casado,Barcelona,La Liga,520000,-1.9343826160647524,-85.54865384227729,0.0019050410316529894,Exceptional
Real Madrid,2024-2025,272960000,Forwards,Alfon,Celta Vigo,La Liga,140000,-2.4088933332075406,-91.00852548045931,0.0005128956623681126,Exceptional
Real Madrid,2024-2025,272960000,Forwards,Pau Victor,Barcelona,La Liga,380000,-2.0091280901333377,-86.5894448338033,0.001392145369284877,Exceptional
Real Madrid,2024-2025,272960000,Forwards,Pablo Durán,Celta Vigo,La Liga,140000,-1.9671298219685838,-86.01423028126085,0.0005128956623681126,Exceptional
Real Madrid,2024-2025,272960000,Forwards,Mohamed Amoura,Wolfsburg,Bundesliga,470000,-1.952348164174989,-85.8059619357528,0.0017218640093786635,Exceptional
