Team,Comp,position_group,n_players,mean_eff,std_eff,total_wage_EUR,total_excess_EUR,n_overpaid,n_underpaid,priority_rank,priority_label,n_suggestions,eff_threshold
Alavés,La Liga,Defenders,7,0.09897320422556151,0.4962327546645935,3570000,367482.9653838036,2,2,3,MEDIUM,3,-0.25
Alavés,La Liga,Forwards,3,0.22424287062804105,0.6298798950759108,3150000,835954.1547492989,1,1,2,HIGH,5,-0.2
Alavés,La Liga,Goalkeepers,2,0.022670767835861298,0.14722237751630063,1120000,84416.93555609419,0,0,3,MEDIUM,3,-0.25
Alavés,La Liga,Midfielders,12,0.09539889969627029,0.8741454055925014,11600000,2805633.2037121067,3,4,3,MEDIUM,3,-0.25
Angers,Ligue 1,Defenders,8,-0.14711899691457495,0.589424549326027,2640000,-501958.3364058768,1,3,4,LOW,2,-0.3
Angers,Ligue 1,Forwards,4,-0.15107136834125212,0.6242026268098229,1870000,27039.591154626803,1,2,4,LOW,2,-0.3
Angers,Ligue 1,Goalkeepers,2,-0.45565297354009626,0.19074881082150372,360000,-238571.0954920689,0,2,4,LOW,2,-0.3
Angers,Ligue 1,Midfielders,12,-0.13564812361090572,0.65639138851937,5940000,291304.54102594976,2,5,4,LOW,2,-0.3
Arsenal,Premier League,Defenders,9,0.14523205621414545,0.3623590178575023,71956798,11023316.810261145,2,2,2,HIGH,5,-0.2
Arsenal,Premier League,Forwards,6,0.11161885541112115,0.6009006426943612,72234031,10086102.582544288,3,1,2,HIGH,5,-0.2
Arsenal,Premier League,Goalkeepers,1,-0.4924734965056139,,6160685,-3920405.7807768136,0,1,4,LOW,2,-0.3
Arsenal,Premier League,Midfielders,6,0.10492253041812884,0.36224936233205457,65919328,8418583.318534138,2,1,2,HIGH,5,-0.2
Aston Villa,Premier League,Defenders,9,0.10142135823230246,0.5754402394940755,51318506,9355088.319485663,2,1,2,HIGH,5,-0.2
Aston Villa,Premier League,Forwards,2,-0.2959036825749468,0.37625968565621476,12629404,-6179545.369519907,0,1,4,LOW,2,-0.3
Aston Villa,Premier League,Goalkeepers,2,-0.00378343693096371,0.2852146488319013,12321369,956564.4786348045,0,0,3,MEDIUM,3,-0.25
Aston Villa,Premier League,Midfielders,8,0.08576506507805015,0.6954367926409452,51318505,10407902.123938363,2,1,3,MEDIUM,3,-0.25
Atalanta,Serie A,Defenders,7,-0.006016384021020409,0.2367507266583572,10900000,-247995.79512729845,0,1,3,MEDIUM,3,-0.25
Atalanta,Serie A,Forwards,1,-0.5128489686080879,,2820000,-1889519.3479720429,0,1,4,LOW,2,-0.3
Atalanta,Serie A,Goalkeepers,2,-0.8979121105189822,1.7813117488795294,2110000,-870695.0199746706,1,1,4,LOW,2,-0.3
Atalanta,Serie A,Midfielders,11,0.20269899740142658,0.5103749417554447,25460685,5564857.709748319,4,2,2,HIGH,5,-0.2
Athletic Club,La Liga,Defenders,9,0.05367088696605529,0.6427240655681647,16780000,4010055.3340039384,3,2,3,MEDIUM,3,-0.25
Athletic Club,La Liga,Forwards,1,-0.743146050132804,,2080000,-2293282.817243872,0,1,4,LOW,2,-0.3
Athletic Club,La Liga,Goalkeepers,3,-0.26196842767499007,0.9075670529534504,5180000,1463569.8542219973,1,2,4,LOW,2,-0.3
Athletic Club,La Liga,Midfielders,12,-0.09239221167547829,1.0151192276180192,35150000,13895382.988989515,3,5,3,MEDIUM,3,-0.25
Atlético Madrid,La Liga,Defenders,10,-0.16434167996108381,0.9042244984527115,45030000,7742567.507169199,5,4,4,LOW,2,-0.3
Atlético Madrid,La Liga,Forwards,4,0.1409806032858394,0.45064621710009795,29320000,5656390.432869348,2,0,2,HIGH,5,-0.2
Atlético Madrid,La Liga,Goalkeepers,1,1.400022427210649,,20830000,15693500.439745761,1,0,1,CRITICAL,8,-0.15
Atlético Madrid,La Liga,Midfielders,9,-0.5086902089354073,1.0057274690081113,34990000,-284657.40206385124,2,5,4,LOW,2,-0.3
Augsburg,Bundesliga,Defenders,6,0.042054713024404826,0.33545080256727766,4500000,548873.1894258749,2,1,3,MEDIUM,3,-0.25
Augsburg,Bundesliga,Forwards,2,-0.6537707657830625,0.011703089605793174,1500000,-1384265.0363605444,0,2,4,LOW,2,-0.3
Augsburg,Bundesliga,Goalkeepers,2,0.13593120039003995,0.21057468447821087,1590000,174929.70656479488,0,0,2,HIGH,5,-0.2
Augsburg,Bundesliga,Midfielders,12,-0.22799629677875202,0.7012400620156833,13010000,912445.859416449,4,5,4,LOW,2,-0.3
Auxerre,Ligue 1,Defenders,8,0.5523986454635281,0.7039843037868877,7150000,3467685.0072534075,6,0,1,CRITICAL,8,-0.15
Auxerre,Ligue 1,Forwards,3,-0.16398565338715856,0.4895792151421285,1810000,-227170.81783715822,1,1,4,LOW,2,-0.3
Auxerre,Ligue 1,Goalkeepers,2,-0.49941665403952396,0.14611453676094732,640000,-488418.76873108826,0,2,4,LOW,2,-0.3
Auxerre,Ligue 1,Midfielders,9,0.3484237522570811,0.7795187369736996,7050000,2869503.0792643838,5,1,1,CRITICAL,8,-0.15
Barcelona,La Liga,Defenders,8,0.049745822161670436,0.4872350365622013,51440000,5891618.593043504,2,2,3,MEDIUM,3,-0.25
Barcelona,La Liga,Forwards,3,-0.16128873217515446,1.6210935773416686,43710000,22833821.496039554,2,1,4,LOW,2,-0.3
Barcelona,La Liga,Goalkeepers,3,0.24499787820245147,0.578294250284022,12550000,2727946.1432999712,2,1,2,HIGH,5,-0.2
Barcelona,La Liga,Midfielders,12,-0.37871432630934737,1.2530408120285192,83730000,7820190.860360179,4,6,4,LOW,2,-0.3
Bayern Munich,Bundesliga,Defenders,9,-0.2555287910857806,0.4505075082754044,68630000,-16708018.479748184,1,4,4,LOW,2,-0.3
Bayern Munich,Bundesliga,Forwards,1,0.8088781244106684,,25000000,13866064.457921743,1,0,1,CRITICAL,8,-0.15
Bayern Munich,Bundesliga,Goalkeepers,3,0.3753263253763042,0.8635582833425564,24500000,14706905.27702647,1,1,1,CRITICAL,8,-0.15
Bayern Munich,Bundesliga,Midfielders,11,-0.2787104395366223,0.33604739113973714,142170000,-29634863.058557674,0,4,4,LOW,2,-0.3
Bochum,Bundesliga,Defenders,8,0.04150743403637837,0.38502525022695844,7850000,871615.1896595273,2,2,3,MEDIUM,3,-0.25
Bochum,Bundesliga,Forwards,5,-0.053788046288322275,0.9130881726049741,3210000,441457.57499184954,1,1,3,MEDIUM,3,-0.25
Bochum,Bundesliga,Goalkeepers,2,-0.04966357919652786,0.7962675787575128,1310000,64632.933442553855,1,1,3,MEDIUM,3,-0.25
Bochum,Bundesliga,Midfielders,12,0.15951604714355425,0.42377124596280463,10240000,2068457.2271327144,4,1,2,HIGH,5,-0.2
Bologna,Serie A,Defenders,7,-0.20263470992728777,0.6236187281012636,7340000,-845804.9876786172,1,4,4,LOW,2,-0.3
Bologna,Serie A,Forwards,2,0.22336414651861247,0.6000288915319061,3890000,1204156.30296604,1,0,2,HIGH,5,-0.2
Bologna,Serie A,Goalkeepers,2,-0.07713763118379721,0.002875637690889233,2410000,-195307.742832775,0,0,3,MEDIUM,3,-0.25
Bologna,Serie A,Midfielders,12,-0.011681674189714712,0.2895043213701561,16320000,69879.7494843739,2,4,3,MEDIUM,3,-0.25
Bournemouth,Premier League,Defenders,8,0.006107027017060673,0.6733070096570346,17865984,1283448.5331235146,3,2,3,MEDIUM,3,-0.25
Bournemouth,Premier League,Forwards,2,-0.08840249579616355,1.244831706947367,6160685,1354027.7942710305,1,1,3,MEDIUM,3,-0.25
