club,league,current_bill_EUR,n_players_to_sell,n_players_to_buy,wages_freed_EUR,wages_spent_EUR,net_saving_per_yr_EUR,net_saving_4yr_EUR,bill_reduction_pct,mean_eff_players_sold,mean_eff_players_bought,efficiency_swing
Real Madrid,La Liga,314630000,9,9,144070000,1790000,142280000,569120000,45.22,0.8724,-2.1238,-2.9962
Paris Saint-Germain,Ligue 1,185890000,12,12,134580000,3194103,131385897,525543588,70.68,1.0075,-1.9667,-2.9742
Barcelona,La Liga,191430000,9,9,110180000,1816068,108363932,433455728,56.61,0.779,-2.0074,-2.7865
Manchester City,Premier League,255051840,4,4,70847877,810000,70037877,280151508,27.46,0.5187,-2.2346,-2.7533
Atlético Madrid,La Liga,130170000,6,6,66990000,1290000,65700000,262800000,50.47,0.8906,-2.1252,-3.0158
Bayern Munich,Bundesliga,260300000,3,3,57250000,530000,56720000,226880000,21.79,0.8953,-2.1414,-3.0366
Juventus,Serie A,109840171,5,5,47400000,888034,46511966,186047864,42.35,0.8676,-2.3443,-3.2119
Manchester Utd,Premier League,190294079,3,3,44048897,440000,43608897,174435588,22.92,0.9218,-2.413,-3.3347
Chelsea,Premier League,175887552,3,3,43124794,780000,42344794,169379176,24.07,0.6634,-2.2058,-2.8692
Arsenal,Premier League,216270842,3,3,35423938,710000,34713938,138855752,16.05,0.6485,-1.9887,-2.6372
Athletic Club,La Liga,59190000,5,5,33510000,1000000,32510000,130040000,54.92,1.1203,-2.2192,-3.3395
Aston Villa,Premier League,127587784,4,4,33267698,810000,32457698,129830792,25.44,0.8981,-2.2346,-3.1328
Dortmund,Bundesliga,120710685,4,4,31160685,630000,30530685,122122740,25.29,0.9467,-2.3491,-3.2958
Brighton,Premier League,79965688,8,8,31419492,2086068,29333424,117333696,36.68,0.7468,-2.1629,-2.9097
Real Betis,La Liga,61403507,5,5,28713507,950000,27763507,111054028,45.21,1.0408,-2.2695,-3.3103
RB Leipzig,Bundesliga,101192137,5,5,27080000,770000,26310000,105240000,26.0,0.6635,-2.3611,-3.0245
Crystal Palace,Premier League,86865653,3,3,22794534,430000,22364534,89458136,25.75,0.7726,-2.5129,-3.2855
Girona,La Liga,38570000,9,9,24470000,2176068,22293932,89175728,57.8,1.0376,-2.0723,-3.11
Inter,Serie A,146920000,2,2,22230000,410000,21820000,87280000,14.85,0.8343,-2.4589,-3.2932
Nottingham Forest,Premier League,68277019,4,4,21147781,748034,20399747,81598988,29.88,0.6928,-2.3281,-3.021
Liverpool,Premier League,153093018,2,2,20330260,410000,19920260,79681040,13.01,0.6428,-2.4589,-3.1017
Bournemouth,Premier League,63455052,6,6,20946328,1140000,19806328,79225312,31.21,0.6754,-2.2508,-2.9262
Nice,Ligue 1,31880000,7,7,20080000,1566068,18513932,74055728,58.07,0.8459,-2.1956,-3.0415
Eintracht Frankfurt,Bundesliga,41530000,7,7,19590000,1616068,17973932,71895728,43.28,0.7367,-2.1596,-2.8963
Las Palmas,La Liga,30994518,9,9,19274518,1668034,17606484,70425936,56.81,1.3615,-2.0828,-3.4443
Genoa,Serie A,33020000,7,7,17810000,1448034,16361966,65447864,49.55,0.9186,-2.1854,-3.104
West Ham United,Premier League,114588736,2,2,16633849,400000,16233849,64935396,14.17,0.6696,-2.6088,-3.2784
Venezia,Serie A,28680000,11,11,17970000,1916068,16053932,64215728,55.98,0.8912,-2.0525,-2.9437
Monaco,Ligue 1,57240000,4,4,16450000,688034,15761966,63047864,27.54,0.7875,-2.4659,-3.2535
Newcastle United,Premier League,98447744,3,3,16017780,750000,15267780,61071120,15.51,0.6544,-1.7082,-2.3626
Lyon,Ligue 1,59860000,4,4,15820000,810000,15010000,60040000,25.08,0.7602,-2.2346,-2.9948
Valencia,La Liga,33810000,4,4,15880000,990000,14890000,59560000,44.04,0.8185,-1.7841,-2.6025
Hoffenheim,Bundesliga,47560000,7,7,16320000,1946068,14373932,57495728,30.22,0.7085,-2.1278,-2.8363
Getafe,La Liga,27820000,4,4,13930000,580000,13350000,53400000,47.99,1.1154,-2.4119,-3.5274
Mallorca,La Liga,25190000,6,6,14110000,1010000,13100000,52400000,52.0,1.058,-2.2133,-3.2712
Tottenham Hotspur,Premier League,128327065,3,3,13861542,780000,13081542,52326168,10.19,0.9266,-2.2058,-3.1324
Ipswich Town,Premier League,30803420,8,8,14631625,1628034,13003591,52014364,42.21,0.743,-2.1433,-2.8863
Lens,Ligue 1,24150000,12,12,15750000,2826068,12923932,51695728,53.52,0.7788,-1.9377,-2.7164
Leverkusen,Bundesliga,71770000,3,3,13280000,440000,12840000,51360000,17.89,0.6571,-2.413,-3.07
Roma,Serie A,79020000,3,3,13150000,548034,12601966,50407864,15.95,0.5974,-2.485,-3.0824
Lazio,Serie A,67190000,3,3,12590000,780000,11810000,47240000,17.58,0.6077,-2.2058,-2.8135
Stuttgart,Bundesliga,30560000,7,7,12580000,1306068,11273932,45095728,36.89,0.7791,-2.1929,-2.972
Celta Vigo,La Liga,29640000,5,5,11940000,938034,11001966,44007864,37.12,0.7254,-2.294,-3.0195
Lille,Ligue 1,33720000,5,5,11800000,870000,10930000,43720000,32.41,0.8454,-2.1741,-3.0196
Wolfsburg,Bundesliga,49450000,3,3,11320000,440000,10880000,43520000,22.0,0.8492,-2.413,-3.2621
Leicester City,Premier League,68075566,2,2,11089233,330000,10759233,43036932,15.8,0.6071,-2.2832,-2.8903
Atalanta,Serie A,41290685,3,3,11290685,548034,10742651,42970604,26.02,0.8555,-2.485,-3.3405
Monza,Serie A,25910000,5,5,11410000,770000,10640000,42560000,41.07,0.7062,-2.3611,-3.0673
Brest,Ligue 1,23450000,7,7,11080000,1486068,9593932,38375728,40.91,1.0364,-2.1275,-3.1638
Strasbourg,Ligue 1,18280000,12,12,11680000,2188034,9491966,37967864,51.93,0.8859,-1.9628,-2.8487
Marseille,Ligue 1,48640000,2,2,9400000,570000,8830000,35320000,18.15,0.6592,-1.7786,-2.4379
Freiburg,Bundesliga,20300000,3,3,9250000,440000,8810000,35240000,43.4,1.3526,-2.413,-3.7656
Gladbach,Bundesliga,40360000,3,3,9400000,600000,8800000,35200000,21.8,0.881,-2.3584,-3.2394
Osasuna,La Liga,21510000,4,4,8760000,490000,8270000,33080000,38.45,1.1195,-2.3677,-3.4872
Bochum,Bundesliga,22610000,7,7,9460000,1448034,8011966,32047864,35.44,0.7077,-2.2255,-2.9333
Torino,Serie A,41040000,2,2,8330000,350000,7980000,31920000,19.44,0.8109,-2.7345,-3.5454
Como,Serie A,25520000,5,5,8890000,1000000,7890000,31560000,30.92,0.8772,-2.2192,-3.0964
Sevilla,La Liga,56280000,2,2,8340000,570000,7770000,31080000,13.81,0.8322,-1.7786,-2.6108
Alavés,La Liga,19440000,5,5,8400000,700000,7700000,30800000,39.61,1.1375,-2.1877,-3.3252
Everton,Premier League,76146064,1,1,7700856,190000,7510856,30043424,9.86,0.6229,-2.1575,-2.7804
Fulham,Premier League,83790340,2,2,7675083,240000,7435083,29740332,8.87,1.3049,-2.6906,-3.9955
Fiorentina,Serie A,45020000,3,3,7780000,440000,7340000,29360000,16.3,0.681,-2.413,-3.0939
Southampton,Premier League,57448383,3,3,7700856,540000,7160856,28643424,12.46,0.7632,-2.5422,-3.3054
Toulouse,Ligue 1,14410000,6,6,8360000,1290000,7070000,28280000,49.06,1.0521,-2.1252,-3.1773
Leganés,La Liga,15190000,7,7,8660000,1646068,7013932,28055728,46.17,0.8882,-2.1041,-2.9923
Espanyol,La Liga,17060000,3,3,7230000,550000,6680000,26720000,39.16,1.3695,-2.4422,-3.8117
Montpellier,Ligue 1,11970000,4,4,6810000,740000,6070000,24280000,50.71,1.0013,-2.371,-3.3724
Auxerre,Ligue 1,16650000,4,4,6460000,840000,5620000,22480000,33.75,1.4526,-1.9833,-3.436
Hellas Verona,Serie A,19450000,4,4,6110000,580000,5530000,22120000,28.43,0.8591,-2.4119,-3.2711
Brentford,Premier League,39428381,2,2,5544616,520000,5024616,20098464,12.74,1.4357,-2.209,-3.6447
Rayo Vallecano,La Liga,19260000,2,2,5410000,410000,5000000,20000000,25.96,1.1669,-2.4589,-3.6258
St Pauli,Bundesliga,12210000,8,7,6090000,1128034,4961966,19847864,40.64,0.7858,-2.1744,-2.9602
Villarreal,La Liga,42340000,2,2,5420000,570000,4850000,19400000,11.45,0.7274,-1.7786,-2.506
Bologna,Serie A,29960000,2,2,5180000,340000,4840000,19360000,16.15,0.7164,-2.1333,-2.8497
Wolves,Premier League,62715768,1,1,4928548,200000,4728548,18914192,7.54,0.6068,-1.8577,-2.4645
Augsburg,Bundesliga,20600000,2,2,4900000,240000,4660000,18640000,22.62,0.6232,-2.6906,-3.3138
Union Berlin,Bundesliga,23680000,4,4,5250000,620000,4630000,18520000,19.55,0.8199,-2.2016,-3.0215
Heidenheim,Bundesliga,13610000,5,5,5240000,640000,4600000,18400000,33.8,1.342,-2.316,-3.658
Parma,Serie A,24980000,5,5,5280000,760000,4520000,18080000,18.09,0.7806,-2.206,-2.9866
Napoli,Serie A,69180000,1,1,4630000,200000,4430000,17720000,6.4,0.6221,-1.8577,-2.4798
Rennes,Ligue 1,21140000,2,2,4640000,400000,4240000,16960000,20.06,0.5985,-2.6088,-3.2073
Udinese,Serie A,26500000,3,3,4730000,540000,4190000,16760000,15.81,0.6264,-2.5422,-3.1685
Werder Bremen,Bundesliga,21880000,3,3,4500000,380000,4120000,16480000,18.83,0.6652,-2.5967,-3.2619
Valladolid,La Liga,16460000,5,5,4280000,710000,3570000,14280000,21.69,0.7365,-2.3829,-3.1195
Holstein Kiel,Bundesliga,12310000,5,4,3860000,440000,3420000,13680000,27.78,0.9437,-2.4306,-3.3742
Empoli,Serie A,17710000,2,2,3590000,240000,3350000,13400000,18.92,0.7262,-2.6906,-3.4168
Nantes,Ligue 1,22830000,3,3,3720000,510000,3210000,12840000,14.06,0.7571,-2.0446,-2.8017
Le Havre,Ligue 1,11630000,6,6,4040000,910000,3130000,12520000,26.91,0.8122,-2.1096,-2.9218
Cagliari,Serie A,23110000,3,3,3520000,550000,2970000,11880000,12.85,0.5926,-2.4422,-3.0348
Saint-Étienne,Ligue 1,12410000,4,4,3280000,580000,2700000,10800000,21.76,0.6896,-2.412,-3.1015
Lecce,Serie A,12430000,3,3,2870000,370000,2500000,10000000,20.11,0.7958,-2.1959,-2.9917
Angers,Ligue 1,10810000,4,4,2940000,500000,2440000,9760000,22.57,0.7725,-2.2702,-3.0428
