club,league,club_current_bill_EUR,replaces_player,position_group,sold_wage_EUR,sold_efficiency,incoming_player,incoming_team,incoming_league,incoming_age,incoming_wage_EUR,incoming_efficiency,annual_saving_EUR,four_year_saving_EUR
Real Madrid,La Liga,314630000,Kylian Mbappé,Forwards,31250000,0.8506,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,31110000,124440000
Real Madrid,La Liga,314630000,David Alaba,Defenders,22500000,0.5488,César Tárrega,Valencia,La Liga,22,200000,-1.8577,22300000,89200000
Real Madrid,La Liga,314630000,Vinicius Júnior,Forwards,20830000,1.143,Pau Victor,Barcelona,La Liga,22,380000,-2.0091,20450000,81800000
Real Madrid,La Liga,314630000,Jude Bellingham,Midfielders,20830000,0.6989,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,20620000,82480000
Real Madrid,La Liga,314630000,Thibaut Courtois,Goalkeepers,15000000,0.9717,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,14810000,59240000
Real Madrid,La Liga,314630000,Eduardo Camavinga,Defenders,12500000,1.1125,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,12130000,48520000
Real Madrid,La Liga,314630000,Eduardo Camavinga,Midfielders,12500000,0.6414,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,12470000,49880000
Real Madrid,La Liga,314630000,Andriy Lunin,Goalkeepers,4500000,0.902,Christos Mandas,Lazio,Serie A,22,130000,-1.6335,4370000,17480000
Real Madrid,La Liga,314630000,Endrick,Forwards,4160000,0.9823,Pablo Durán,Celta Vigo,La Liga,23,140000,-1.9671,4020000,16080000
Paris Saint-Germain,Ligue 1,185890000,Ousmane Dembélé,Forwards,20000000,0.812,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,19860000,79440000
Paris Saint-Germain,Ligue 1,185890000,Lucas Hernández,Defenders,19000000,0.8409,César Tárrega,Valencia,La Liga,22,200000,-1.8577,18800000,75200000
Paris Saint-Germain,Ligue 1,185890000,Milan Škriniar,Defenders,16360000,0.6996,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,15990000,63960000
Paris Saint-Germain,Ligue 1,185890000,Achraf Hakimi,Defenders,14550000,0.5624,Iglesias,Getafe,La Liga,26,180000,-1.5674,14370000,57480000
Paris Saint-Germain,Ligue 1,185890000,Gianluigi Donnarumma,Goalkeepers,12730000,1.7815,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,12540000,50160000
Paris Saint-Germain,Ligue 1,185890000,João Neves,Defenders,9090000,1.267,Arthur Chaves,Hoffenheim,Bundesliga,23,300000,-1.4603,8790000,35160000
Paris Saint-Germain,Ligue 1,185890000,João Neves,Midfielders,9090000,1.1132,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,8880000,35520000
Paris Saint-Germain,Ligue 1,185890000,Warren Zaïre-Emery,Defenders,8400000,1.3897,Curtis Jones,Liverpool,Premier League,23,924103,-1.4584,7475897,29903588
Paris Saint-Germain,Ligue 1,185890000,Warren Zaïre-Emery,Midfielders,8400000,1.3809,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,8370000,33480000
Paris Saint-Germain,Ligue 1,185890000,Lee Kang-in,Forwards,7270000,0.8546,Pau Victor,Barcelona,La Liga,22,380000,-2.0091,6890000,27560000
Paris Saint-Germain,Ligue 1,185890000,Bradley Barcola,Forwards,6600000,0.691,Pablo Durán,Celta Vigo,La Liga,23,140000,-1.9671,6460000,25840000
Paris Saint-Germain,Ligue 1,185890000,Matvei Safonov,Goalkeepers,3090000,0.6972,Christos Mandas,Lazio,Serie A,22,130000,-1.6335,2960000,11840000
Barcelona,La Liga,191430000,Robert Lewandowski,Forwards,33330000,1.0216,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,33190000,132760000
Barcelona,La Liga,191430000,Frenkie de Jong,Midfielders,19000000,0.7467,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,18970000,75880000
Barcelona,La Liga,191430000,Ansu Fati,Midfielders,13950000,1.1596,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,13641966,54567864
Barcelona,La Liga,191430000,Jules Koundé,Defenders,13550000,0.5255,César Tárrega,Valencia,La Liga,22,200000,-1.8577,13350000,53400000
Barcelona,La Liga,191430000,Ferrán Torres,Forwards,10000000,0.5037,Pablo Durán,Celta Vigo,La Liga,23,140000,-1.9671,9860000,39440000
Barcelona,La Liga,191430000,Gavi,Midfielders,6800000,1.0309,Toby Collyer,Manchester Utd,Premier League,20,308034,-1.9478,6491966,25967864
Barcelona,La Liga,191430000,Marc-André ter Stegen,Goalkeepers,6300000,0.6426,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,6110000,24440000
Barcelona,La Liga,191430000,Pau Cubarsí,Defenders,4000000,0.8699,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,3630000,14520000
Barcelona,La Liga,191430000,Iñaki Peña,Goalkeepers,3250000,0.5108,Christos Mandas,Lazio,Serie A,22,130000,-1.6335,3120000,12480000
Manchester City,Premier League,255051840,Kevin De Bruyne,Midfielders,24642740,0.5094,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,24432740,97730960
Manchester City,Premier League,255051840,Jack Grealish,Midfielders,18482055,0.5279,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,18452055,73808220
Manchester City,Premier League,255051840,John Stones,Defenders,15401712,0.5062,César Tárrega,Valencia,La Liga,22,200000,-1.8577,15201712,60806848
Manchester City,Premier League,255051840,Joško Gvardiol,Defenders,12321370,0.5314,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,11951370,47805480
Atlético Madrid,La Liga,130170000,Jan Oblak,Goalkeepers,20830000,1.4,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,20640000,82560000
Atlético Madrid,La Liga,130170000,Antoine Griezmann,Forwards,12500000,0.5962,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,12360000,49440000
Atlético Madrid,La Liga,130170000,Conor Gallagher,Midfielders,9000000,1.0785,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,8790000,35160000
Atlético Madrid,La Liga,130170000,Marcos Llorente,Defenders,8330000,0.6126,César Tárrega,Valencia,La Liga,22,200000,-1.8577,8130000,32520000
Atlético Madrid,La Liga,130170000,Axel Witsel,Defenders,8330000,0.8791,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,7960000,31840000
Atlético Madrid,La Liga,130170000,César Azpilicueta,Defenders,8000000,0.7772,Iglesias,Getafe,La Liga,26,180000,-1.5674,7820000,31280000
Bayern Munich,Bundesliga,260300000,Harry Kane,Forwards,25000000,0.8089,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,24860000,99440000
Bayern Munich,Bundesliga,260300000,Manuel Neuer,Goalkeepers,21000000,1.3169,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,20810000,83240000
Bayern Munich,Bundesliga,260300000,Alphonso Davies,Defenders,11250000,0.56,César Tárrega,Valencia,La Liga,22,200000,-1.8577,11050000,44200000
Juventus,Serie A,109840171,Dušan Vlahović,Forwards,22220000,1.2351,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,22080000,88320000
Juventus,Serie A,109840171,Gleison Bremer,Defenders,9260000,0.8247,César Tárrega,Valencia,La Liga,22,200000,-1.8577,9060000,36240000
Juventus,Serie A,109840171,Douglas Luiz,Midfielders,8330000,0.9461,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,8120000,32480000
Juventus,Serie A,109840171,Francisco Conceição,Midfielders,4630000,0.7471,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,4600000,18400000
Juventus,Serie A,109840171,Kenan Yıldız,Midfielders,2960000,0.5852,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,2651966,10607864
Manchester Utd,Premier League,190294079,Casemiro,Midfielders,21562397,0.7343,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,21352397,85409588
Manchester Utd,Premier League,190294079,Mason Mount,Midfielders,15401712,0.8037,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,15371712,61486848
Manchester Utd,Premier League,190294079,Leny Yoro,Defenders,7084788,1.2273,César Tárrega,Valencia,La Liga,22,200000,-1.8577,6884788,27539152
Chelsea,Premier League,175887552,Reece James,Defenders,15401712,0.6875,César Tárrega,Valencia,La Liga,22,200000,-1.8577,15201712,60806848
Chelsea,Premier League,175887552,Reece James,Midfielders,15401712,0.6686,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,15191712,60766848
Chelsea,Premier League,175887552,Wesley Fofana,Defenders,12321370,0.634,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,11951370,47805480
Arsenal,Premier League,216270842,Gabriel Jesus,Forwards,16325815,0.6185,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,16185815,64743260
Arsenal,Premier League,216270842,William Saliba,Defenders,11705301,0.7301,César Tárrega,Valencia,La Liga,22,200000,-1.8577,11505301,46021204
Arsenal,Premier League,216270842,Riccardo Calafiori,Defenders,7392822,0.5969,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,7022822,28091288
Athletic Club,La Liga,59190000,Iñaki Williams,Midfielders,11400000,1.171,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,11190000,44760000
Athletic Club,La Liga,59190000,Nico Williams,Midfielders,10420000,2.0558,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,10390000,41560000
Athletic Club,La Liga,59190000,Yuri Berchiche,Defenders,4280000,0.8566,César Tárrega,Valencia,La Liga,22,200000,-1.8577,4080000,16320000
Athletic Club,La Liga,59190000,Unai Simón,Goalkeepers,4280000,0.7385,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,4090000,16360000
Athletic Club,La Liga,59190000,Daniel Vivian,Defenders,3130000,0.7799,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,2760000,11040000
Aston Villa,Premier League,127587784,Boubacar Kamara,Defenders,9241027,0.9924,César Tárrega,Valencia,La Liga,22,200000,-1.8577,9041027,36164108
Aston Villa,Premier League,127587784,Boubacar Kamara,Midfielders,9241027,0.7532,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,9031027,36124108
Aston Villa,Premier League,127587784,Amadou Onana,Midfielders,8624959,1.027,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,8594959,34379836
Aston Villa,Premier League,127587784,Ian Maatsen,Defenders,6160685,0.8199,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,5790685,23162740
Dortmund,Bundesliga,120710685,Niklas Süle,Defenders,10000000,0.8656,César Tárrega,Valencia,La Liga,22,200000,-1.8577,9800000,39200000
Dortmund,Bundesliga,120710685,Gregor Kobel,Goalkeepers,9000000,1.0254,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,8810000,35240000
Dortmund,Bundesliga,120710685,Carney Chukwuemeka,Midfielders,6160685,1.3104,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,5950685,23802740
