Player,Team,Comp,Season,position_group,Age,Annual_Wages_EUR,predicted_wage_EUR,annual_salary_discount_EUR,contract_value_saving_4yr_EUR,efficiency_score,efficiency_pct,scouting_value_score
Pablo Torre,Barcelona,La Liga,2024-2025,Midfielders,21,210000,4479210.219308452,4269210.219308452,17076840.877233807,-3.06009448881766,-95.31167349335924,2.0094
Ibrahim Mbaye,Paris Saint-Germain,Ligue 1,2024-2025,Forwards,16,120000,763675.1286828337,643675.1286828337,2574700.514731335,-1.850650731713884,-84.28651196131362,1.7885
Niccolò Pisilli,Roma,Serie A,2024-2025,Midfielders,19,170000,1053585.1780265335,883585.1780265335,3534340.712106134,-1.82415564534756,-83.8646173517336,1.5453
Toby Collyer,Manchester Utd,Premier League,2024-2025,Midfielders,20,308034,2160395.741902485,1852361.741902485,7409446.96760994,-1.947836531248868,-85.74177897014647,1.5186
Seydouba Cissé,Leganés,La Liga,2024-2025,Midfielders,23,30000,305619.78351742635,275619.78351742635,1102479.1340697054,-2.321144410175677,-90.18388153583342,1.5076
Marc Casado,Barcelona,La Liga,2024-2025,Midfielders,20,520000,3598280.7021896555,3078280.7021896555,12313122.808758622,-1.9343826160646795,-85.54865384227624,1.491
Marc Bernal,Barcelona,La Liga,2024-2025,Midfielders,17,320000,1328572.3485008203,1008572.3485008203,4034289.3940032814,-1.4235392267119948,-75.91399517225447,1.4803
Julien Duranville,Dortmund,Bundesliga,2024-2025,Midfielders,18,240000,1042433.0026386913,802433.0026386913,3209732.0105547654,-1.468673762211802,-76.9769376648195,1.4357
Pau Victor,Barcelona,La Liga,2024-2025,Forwards,22,380000,2833588.880479603,2453588.880479603,9814355.521918412,-2.009128090133162,-86.58944483380094,1.3922
Almugera Kabar,Dortmund,Bundesliga,2024-2025,Defenders,18,180000,702630.258289462,522630.25828946196,2090521.0331578478,-1.361873954181947,-74.38197432057565,1.3882
