Player,Season,Age,Nation,Team,Comp,Pos,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,Sh_Standard,G_Sh_raw,G/SoT,SoT,SoT%,TklW,Int,Tkl+Int,Mn/MP,Mn/MP_Detail,Min_pct,Mn/Start,Compl,Mn/Sub,PPM,PPM_Team,onG,onGA,PlusMinus,On_Off,CrdY,CrdY_Detail,CrdR,2CrdY,Fls,Fld,Off,OG,L_Detail,OG_Detail,Weekly Wages,Annual Wages,Weekly_Wages_EUR,Annual_Wages_EUR,Club_Annual_EUR,Club_Wage_Rank,Club_Wage_Rank_Pct,Player_Wage_Share,log_wage,Age2,NPGls_p90,Ast_p90,NPSh_p90,SoT_p90,TklW_p90,Int_p90,Fls_p90,Fld_p90,CrdY_p90,Off_p90,G_Sh_zero,G_Sh,SoT_pct,SoTPct_zero,team_press_intensity,tkl_above_system,int_above_system,fitted_log_wage,efficiency_score,efficiency_pct,efficiency_label
Alejandro Balde,2022-2023,18,ESP,Barcelona,La Liga,DF,33,2471,27.5,30,3,4,1,6,7,1,0,0,0,19,19,0.05,0.25,4,21.1,32,12,0,75,75,72.3,81.0,21,9.0,2.45,2.45,48,15,33,-0.41,4,4,0,0,26,29,5,0,0,0,"€ 3,077 (£ 2,647, $3,365)","€ 160,000 (£ 137,650, $174,954)",3077,160000,268510000,2,0.9473684210526315,0.000595880972775688,11.982929094215963,324,0.03636363636363636,0.21818181818181817,0.6909090909090909,0.14545454545454545,1.1636363636363636,0.43636363636363634,0.9454545454545454,1.0545454545454545,0.14545454545454545,0.18181818181818182,0,0.05,21.1,0,0.8647566412861571,0.29887972235020643,-0.4017217056422728,14.374220918719269,-2.3912918245033055,-90.8488609169979,Underpaid
Antonios Papadopoulos,2023-2024,23,GER,Dortmund,Bundesliga,DF,2,117,1.3,1,1,3,0,0,0,0,0,0,0,0,0,,,0,,3,2,0,59,59,3.8,90.0,1,27.0,2.0,2.0,5,2,3,1.63,0,0,0,0,1,1,0,0,0,0,"€ 3,462 (£ 2,924, $3,720)","€ 180,000 (£ 152,069, $193,436)",3462,180000,126600000,2,0.9411764705882353,0.0014218009478672985,12.100712129872347,529,0.0,0.0,0.0,0.0,2.3076923076923075,1.5384615384615383,0.7692307692307692,0.7692307692307692,0.0,0.0,1,0.0,0.0,1,1.3832196300906017,0.9244726776017058,0.4178231574472637,14.419923845173132,-2.319211715300785,-90.16489162904973,Underpaid
Ismaël Boura,2022-2023,21,COM,Lens,Ligue 1,DF,9,93,1.0,0,9,21,0,0,0,0,0,0,0,2,2,0.0,0.0,1,50.0,3,2,0,10,10,2.7,,0,10.0,1.78,1.78,5,2,3,1.93,0,0,0,0,0,3,0,0,0,0,"€ 385 (£ 331, $421)","€ 20,000 (£ 17,206, $21,869)",385,20000,11200000,15,0.2631578947368421,0.0017857142857142857,9.903487552536127,441,0.0,0.0,1.9835983263598247,0.7537831021437504,2.695421245421244,2.0,0.0,2.476592356687887,0.0,0.0,0,0.0,50.0,0,1.312130918167518,1.3832903272537258,0.6021486288488764,12.002430544195164,-2.0989429916590367,-87.74140658486004,Underpaid
Warren Zaïre-Emery,2023-2024,17,FRA,Paris Saint-Germain,Ligue 1,"MF,DF",26,1962,21.8,21,5,2,2,3,5,2,0,0,0,14,14,0.14,0.5,4,28.6,28,14,0,75,75,64.1,88.0,16,25.0,2.27,2.27,54,20,34,0.41,4,4,0,0,21,30,1,0,0,0,"€ 4,808 (£ 4,062, $5,167)","€ 250,000 (£ 211,207, $268,661)",4808,250000,293190000,1,1.0,0.0008526893823118114,12.429216196844385,289,0.09174311926605504,0.13761467889908258,0.6422018348623852,0.18348623853211007,1.2844036697247705,0.6422018348623852,0.963302752293578,1.3761467889908257,0.18348623853211007,0.04587155963302752,0,0.14,28.6,0,1.04446895209001,0.2399347176347606,-0.3025135631490695,14.130809706277557,-1.701593509433172,-81.76073520476724,Underpaid
Timothee Pembele,2022-2023,19,FRA,Paris Saint-Germain,Ligue 1,"MF,DF",5,263,2.9,4,1,8,0,1,1,0,0,0,0,3,3,0.0,0.0,1,33.3,5,4,0,53,53,7.7,65.0,0,5.0,1.8,1.8,5,8,-3,-2.51,0,0,0,0,0,1,0,0,0,0,"€ 6,154 (£ 5,294, $6,729)","€ 320,000 (£ 275,299, $349,907)",6154,320000,361590000,1,1.0,0.0008849802262230703,12.676076274775909,361,0.0,0.3448275862068966,1.0344827586206897,0.3448275862068966,1.7241379310344829,1.3793103448275863,0.0,0.3448275862068966,0.0,0.0,0,0.0,33.3,0,1.2698462990191541,0.45429163201532874,0.3656462251369468,14.357107627061371,-1.681031352285462,-81.3818142098959,Underpaid
Valentin Gendrey,2022-2023,22,FRA,Lecce,Serie A,DF,37,3101,34.5,35,2,1,0,2,2,0,0,0,0,10,10,0.0,,0,0.0,57,37,0,84,84,90.7,88.0,29,11.0,0.97,0.97,30,42,-12,-0.07,4,4,0,0,23,27,1,0,0,0,"€ 2,308 (£ 1,985, $2,523)","€ 120,000 (£ 103,237, $131,215)",2308,120000,16526000,20,0.0,0.007261285247488806,11.695247021764182,484,0.0,0.057971014492753624,0.2898550724637681,0.0,1.6521739130434783,1.0724637681159421,0.6666666666666666,0.782608695652174,0.11594202898550725,0.028985507246376812,0,0.0,0.0,0,1.3590317341308102,0.293142178912668,-0.050539544115923984,13.276491991953254,-1.581244970189072,-79.4281175092664,Underpaid
Jordan Beyer,2023-2024,23,GER,Burnley,Premier League,DF,15,1234,13.7,15,0,0,0,1,1,0,0,0,0,5,5,0.0,,0,0.0,19,17,0,82,82,36.1,82.0,10,,0.73,0.73,14,23,-9,0.5,6,6,0,0,11,6,0,0,0,0,"£ 3,000 (€ 3,551, $3,816)","£ 156,000 (€ 184,655, $198,438)",3551,184655,45579026,18,0.10526315789473684,0.004051315181680276,12.126244498170259,529,0.0,0.07299270072992702,0.36496350364963503,0.0,1.3868613138686132,1.2408759124087592,0.8029197080291971,0.43795620437956206,0.43795620437956206,0.0,0,0.0,0.0,0,0.7938510141560486,0.5930102997125646,0.25583920231751967,13.643548725073083,-1.5173042269028247,-78.06977200016033,Underpaid
Arthur Chaves,2024-2025,23,BRA,Hoffenheim,Bundesliga,DF,26,2185,24.3,24,2,2,1,0,1,1,0,0,0,11,11,0.09,0.5,2,18.2,35,38,0,84,84,71.4,88.0,20,42.0,1.12,1.12,34,46,-12,0.53,8,8,0,0,38,19,1,0,0,0,"€ 5,769 (£ 4,870, $5,947)","€ 300,000 (£ 253,223, $309,249)",5769,300000,53070000,6,0.7058823529411765,0.005652911249293386,12.61153775363834,529,0.0411522633744856,0.0,0.45267489711934156,0.0823045267489712,1.4403292181069958,1.5637860082304527,1.5637860082304527,0.7818930041152263,0.3292181069958848,0.0411522633744856,0,0.09,18.2,0,1.1329347305032889,0.3073944876037069,0.31502831920648156,14.06920924274882,-1.4576714891104796,-76.7222330498399,Underpaid
Paul Joly,2022-2023,22,FRA,Auxerre,Ligue 1,DF,10,867,9.6,10,0,6,0,0,0,0,0,0,0,7,7,0.0,,0,0.0,23,21,0,87,87,25.4,87.0,9,,0.9,0.9,9,20,-11,-0.54,2,2,0,0,7,9,0,0,0,0,"€ 962 (£ 827, $1,051)","€ 50,000 (£ 43,016, $54,673)",962,50000,10580000,16,0.21052631578947367,0.004725897920604915,10.819778284410283,484,0.0,0.0,0.7291666666666667,0.0,2.3958333333333335,2.1875,0.7291666666666667,0.9375,0.20833333333333334,0.0,0,0.0,0.0,0,1.295473835868978,1.1003594974643556,0.7646750361274237,12.274609653742534,-1.4548313693322505,-76.65602743209229,Underpaid
James Hill,2024-2025,22,ENG,Bournemouth,Premier League,DF,10,448,5.0,6,4,21,0,1,1,0,0,0,0,6,6,0.0,,0,0.0,8,7,0,45,45,13.1,68.0,1,11.0,1.3,1.3,7,9,-2,-0.83,1,1,0,0,7,5,0,0,0,0,"£ 5,000 (€ 5,924, $6,106)","£ 260,000 (€ 308,034, $317,526)",5924,308034,64821482,17,0.15789473684210525,0.004752035752592019,12.637965445473617,484,0.0,0.2,1.2,0.0,1.6,1.4,1.4,1.0,0.2,0.0,0,0.0,0.0,0,1.1036187953011853,0.49638120469881475,0.1915487013969266,14.07813969765111,-1.4401742521774938,-76.31135228989302,Underpaid
