Player,Season,Age,Nation,Team,Comp,Pos,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,Sh_Standard,G_Sh_raw,G/SoT,SoT,SoT%,TklW,Int,Int_Def,Tkl+Int,Mn/MP,Mn/MP_Detail,Min_pct,Mn/Start,Compl,Mn/Sub,PPM,PPM_Team,onG,onGA,PlusMinus,On_Off,CrdY,CrdY_Detail,CrdR,2CrdY,Fls,Fld,Off,OG,Off_Detail,Weekly Wages,Annual Wages,Weekly_Wages_EUR,Annual_Wages_EUR,Pos_primary,Club_Annual_EUR,Club_Wage_Rank,Club_Wage_Rank_Pct,Player_Wage_Share,log_wage,Age2,NPGls_p90,Ast_p90,NPSh_p90,SoT_p90,TklW_p90,Int_p90,Fls_p90,Fld_p90,CrdY_p90,Off_p90,G_Sh_zero,G_Sh,SoT_pct,SoTPct_zero,fitted_log_wage,efficiency_score,efficiency_pct,efficiency_label
Pau Victor,2024-2025,22,ESP,Barcelona,La Liga,FW,21,319,3.5,2,19,17,2,1,3,2,0,0,0,14,14,0.14,0.25,8,57.1,1,2,2,0,15,15,9.3,60.0,0,11.0,2.1,2.1,14,7,7,0.35,2,2,0,0,7,3,0,0,0,"€ 7,308 (£ 6,168, $7,533)","€ 380,000 (£ 320,749, $391,715)",7308,380000,FW,196780000,2,0.9473684210526315,0.001931090557983535,12.847926531702567,484,0.5714285714285714,0.2857142857142857,4.0,2.2857142857142856,0.2857142857142857,0.5714285714285714,2.0,0.8571428571428571,0.5714285714285714,0.0,0,0.14,57.1,0,14.857054621835905,-2.0091280901333377,-86.5894448338033,Underpaid
Rodrigo Muniz,2024-2025,23,BRA,Fulham,Premier League,FW,31,964,10.7,8,23,1,8,1,9,8,0,0,0,40,40,0.2,0.42,19,47.5,6,4,4,0,31,31,28.2,72.0,0,17.0,1.55,1.55,25,17,8,1.04,1,1,0,0,11,31,3,0,3,"£ 7,500 (€ 8,886, $9,159)","£ 390,000 (€ 462,051, $476,288)",8886,462051,FW,81057662,12,0.42105263157894735,0.005700275440957081,13.04343055358178,529,0.7476635514018692,0.09345794392523366,3.738317757009346,1.7757009345794394,0.5607476635514019,0.3738317757009346,1.0280373831775702,2.897196261682243,0.09345794392523366,0.28037383177570097,0,0.2,47.5,0,14.879994169276323,-1.8365636156945424,-84.06358773909152,Underpaid
Elye Wahi,2022-2023,19,FRA,Montpellier,Ligue 1,FW,33,2513,27.9,29,4,0,19,5,24,18,1,1,0,63,63,0.29,0.47,38,60.3,3,3,3,0,76,76,73.5,81.0,9,43.0,1.3,1.3,46,43,3,0.11,8,8,1,0,31,39,25,0,25,"€ 1,923 (£ 1,654, $2,103)","€ 100,000 (£ 86,031, $109,346)",1923,100000,FW,14720000,11,0.47368421052631576,0.006793478260869565,11.512925464970229,361,0.6451612903225806,0.17921146953405018,2.2580645161290325,1.3620071684587813,0.10752688172043011,0.10752688172043011,1.1111111111111112,1.3978494623655915,0.28673835125448033,0.8960573476702509,0,0.29,60.3,0,13.325173786784106,-1.8122483218138772,-83.67133970409995,Underpaid
Rodrigo Muniz,2023-2024,22,BRA,Fulham,Premier League,FW,26,1593,17.7,18,8,7,9,1,10,9,0,0,0,73,73,0.12,0.33,27,37.0,4,6,6,0,61,61,46.6,80.0,7,18.0,1.04,1.04,24,27,-3,-0.02,1,1,0,0,25,34,4,0,4,"£ 7,500 (€ 8,878, $9,540)","£ 390,000 (€ 461,638, $496,095)",8878,461638,FW,78940040,13,0.3684210526315789,0.005847957513069413,13.042536313144746,484,0.5084745762711864,0.05649717514124294,4.124293785310734,1.5254237288135595,0.22598870056497175,0.33898305084745767,1.4124293785310735,1.92090395480226,0.05649717514124294,0.22598870056497175,0,0.12,37.0,0,14.791960082988389,-1.7494237698436432,-82.61258939073537,Underpaid
Ellis Simms,2022-2023,21,ENG,Everton,Premier League,FW,11,228,2.5,2,9,10,1,0,1,1,0,0,0,8,8,0.13,1.0,1,12.5,0,0,0,0,21,21,6.7,65.0,0,11.0,0.73,0.73,3,4,-1,0.23,0,0,0,0,0,1,1,0,1,"£ 7,000 (€ 8,137, $8,897)","£ 364,000 (€ 423,103, $462,647)",8137,423103,FW,98583027,8,0.631578947368421,0.004291844274572742,12.955370927205356,441,0.4,0.0,3.2,0.4,0.0,0.0,0.0,0.4,0.0,0.4,0,0.13,12.5,0,14.690421017082256,-1.7350500898769,-82.36086353566876,Underpaid
Youssoufa Moukoko,2022-2023,17,GER,Dortmund,Bundesliga,FW,26,1141,12.7,11,15,3,7,3,10,7,0,0,0,35,35,0.2,0.37,19,54.3,7,2,2,0,44,44,37.3,73.0,4,22.0,1.88,1.88,32,23,9,-0.7,0,0,0,0,8,8,1,0,1,"€ 4,615 (£ 3,971, $5,047)","€ 240,000 (£ 206,474, $262,431)",4615,240000,FW,122520000,2,0.9411764705882353,0.0019588638589618022,12.388394202324127,289,0.5511811023622047,0.2362204724409449,2.7559055118110236,1.4960629921259843,0.5511811023622047,0.15748031496062992,0.6299212598425197,0.6299212598425197,0.0,0.07874015748031496,0,0.2,54.3,0,13.857416286491127,-1.4690220841669994,-76.9849557063957,Underpaid
Thijs Dallinga,2023-2024,22,NED,Toulouse,Ligue 1,FW,33,2510,27.9,28,5,0,14,2,16,13,1,3,2,84,84,0.15,0.38,34,40.5,14,4,4,0,76,76,82.0,84.0,16,31.0,1.3,1.3,34,37,-3,0.06,6,6,0,0,38,45,20,0,20,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",2308,120000,FW,9860000,17,0.058823529411764705,0.012170385395537525,11.695247021764182,484,0.4659498207885305,0.07168458781362008,3.010752688172043,1.2186379928315412,0.5017921146953406,0.14336917562724016,1.3620071684587813,1.6129032258064517,0.21505376344086022,0.7168458781362007,0,0.15,40.5,0,13.050328603414602,-1.3550815816504205,-74.2073748455808,Underpaid
Beto,2022-2023,24,GNB,Udinese,Serie A,FW,33,2129,23.7,23,10,0,10,1,11,9,1,1,0,61,61,0.15,0.41,22,36.1,8,6,6,0,65,65,62.3,80.0,11,28.0,1.27,1.27,25,31,-6,-0.6,2,2,0,0,36,26,9,0,9,"€ 3,654 (£ 3,143, $3,995)","€ 190,000 (£ 163,459, $207,758)",3654,190000,FW,20032000,19,0.05263157894736842,0.00948482428115016,12.154779351142622,576,0.379746835443038,0.04219409282700422,2.5738396624472575,0.9282700421940928,0.33755274261603374,0.25316455696202533,1.518987341772152,1.0970464135021096,0.08438818565400844,0.379746835443038,0,0.15,36.1,0,13.417922619764449,-1.2631432686218265,-71.72361744978075,Underpaid
Robin Hack,2023-2024,24,GER,Gladbach,Bundesliga,"FW,MF",29,1348,15.0,14,15,3,10,2,12,10,0,0,0,43,43,0.23,0.45,22,51.2,9,14,14,0,46,46,44.1,75.0,3,20.0,0.97,0.97,22,26,-4,0.1,2,2,0,0,17,22,9,0,9,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",11538,600000,FW,51480000,6,0.7058823529411765,0.011655011655011656,13.304684934198283,576,0.6666666666666666,0.13333333333333333,2.8666666666666667,1.4666666666666666,0.6,0.9333333333333333,1.1333333333333333,1.4666666666666666,0.13333333333333333,0.6,0,0.23,51.2,0,14.491686525864655,-1.1870015916663714,-69.4865187448591,Underpaid
Nicolò Cambiaghi,2022-2023,21,ITA,Empoli,Serie A,"FW,MF",28,1285,14.3,12,16,3,6,1,7,6,0,0,0,35,35,0.17,0.43,14,40.0,22,9,9,0,46,46,37.6,74.0,2,25.0,1.32,1.32,19,12,7,1.29,5,5,1,1,26,60,1,0,1,"€ 2,885 (£ 2,482, $3,154)","€ 150,000 (£ 129,047, $164,019)",2885,150000,FW,26896000,14,0.3157894736842105,0.0055770374776918505,11.918390573078394,441,0.4195804195804196,0.06993006993006992,2.4475524475524475,0.979020979020979,1.5384615384615383,0.6293706293706294,1.8181818181818181,3.8700636942675155,0.34965034965034963,0.06993006993006992,0,0.17,40.0,0,13.091238076164752,-1.1728475030863574,-69.05155724810581,Underpaid
