Player,Season,Age,Nation,Team,Comp,Pos,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,Sh_Standard,G_Sh_raw,G/SoT,SoT,SoT%,TklW,Int,Int_Def,Tkl+Int,Mn/MP,Mn/MP_Detail,Min_pct,Mn/Start,Compl,Mn/Sub,PPM,PPM_Team,onG,onGA,PlusMinus,On_Off,CrdY,CrdY_Detail,CrdR,2CrdY,Fls,Fld,Off,OG,Off_Detail,Weekly Wages,Annual Wages,Weekly_Wages_EUR,Annual_Wages_EUR,Pos_primary,Club_Annual_EUR,Club_Wage_Rank,Club_Wage_Rank_Pct,Player_Wage_Share,log_wage,Age2,NPGls_p90,Ast_p90,NPSh_p90,SoT_p90,TklW_p90,Int_p90,Fls_p90,Fld_p90,CrdY_p90,Off_p90,G_Sh_zero,G_Sh,SoT_pct,SoTPct_zero,fitted_log_wage,efficiency_score,efficiency_pct,efficiency_label
Pablo Torre,2024-2025,21,ESP,Barcelona,La Liga,MF,10,310,3.4,4,6,26,3,1,4,3,0,0,0,6,6,0.5,0.75,4,66.7,4,3,3,0,31,31,9.1,56.0,0,15.0,2.2,2.2,9,4,5,-0.23,0,0,0,0,4,8,1,0,1,"€ 4,038 (£ 3,409, $4,163)","€ 210,000 (£ 177,256, $216,474)",4038,210000,MF,196780000,2,0.9473684210526315,0.0010671816241487955,12.254862809699606,441,0.6042938542938544,0.29411764705882354,1.7647058823529411,1.1764705882352942,1.1764705882352942,0.8823529411764706,1.1764705882352942,2.3529411764705883,0.0,0.29411764705882354,0,0.5,66.7,0,15.314957298517358,-3.060094488817752,-95.31167349335968,Underpaid
Matìas Soulé,2022-2023,19,ARG,Juventus,Serie A,"MF,FW",13,420,4.7,4,9,21,1,0,1,1,0,0,0,10,10,0.1,0.2,5,50.0,5,3,3,0,32,32,12.3,67.0,0,17.0,1.54,1.54,6,0,6,0.78,0,0,0,0,3,5,0,0,0,"€ 1,346 (£ 1,158, $1,472)","€ 70,000 (£ 60,222, $76,542)",1346,70000,MF,163370000,1,1.0,0.0004284752402521883,11.156250521031497,361,0.2127659574468085,0.0,2.127659574468085,1.0638297872340425,1.0638297872340425,0.6382978723404255,0.6382978723404255,1.0638297872340425,0.0,0.0,0,0.1,50.0,0,13.790578768217,-2.6343282471855023,-92.82328369865735,Underpaid
Gio Reyna,2022-2023,19,USA,Dortmund,Bundesliga,MF,22,625,6.9,4,18,6,7,2,9,6,1,1,0,25,25,0.24,0.5,12,48.0,8,2,2,0,28,28,20.4,61.0,0,21.0,1.95,1.95,21,14,7,-0.17,2,2,0,0,8,17,1,0,1,"€ 2,500 (£ 2,151, $2,734)","€ 130,000 (£ 111,840, $142,150)",2500,130000,MF,122520000,2,0.9411764705882353,0.0010610512569376427,11.77528972943772,361,0.6042938542938544,0.2898550724637681,3.623188405797101,1.6261161290322586,1.1594202898550725,0.2898550724637681,1.1594202898550725,2.463768115942029,0.2898550724637681,0.14492753623188406,0,0.24,48.0,0,14.294056218033491,-2.5187664885957712,-91.94410841711132,Underpaid
Felix Nmecha,2022-2023,21,GER,Wolfsburg,Bundesliga,MF,30,1836,20.4,19,11,1,3,5,8,3,0,0,0,37,37,0.08,0.33,9,24.3,26,27,27,0,61,61,60.0,82.0,11,25.0,1.47,1.47,34,25,9,0.44,3,3,0,0,29,38,1,0,1,"€ 2,115 (£ 1,820, $2,313)","€ 110,000 (£ 94,634, $120,281)",2115,110000,MF,44540000,6,0.7058823529411765,0.002469690166142793,11.608235644774552,441,0.14705882352941177,0.2450980392156863,1.8137254901960786,0.44117647058823534,1.2745098039215688,1.323529411764706,1.4215686274509804,1.8627450980392157,0.14705882352941177,0.04901960784313726,0,0.08,24.3,0,13.995783672262126,-2.3875480274875738,-90.81453669844564,Underpaid
Maghnes Akliouche,2023-2024,21,FRA,Monaco,Ligue 1,MF,28,1613,17.9,18,10,3,7,4,11,7,0,0,0,35,35,0.2,0.33,21,60.0,23,8,8,0,58,58,52.7,78.0,3,20.0,1.93,1.93,32,17,15,0.15,5,5,0,0,34,31,1,0,1,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",2308,120000,MF,58770000,3,0.8823529411764706,0.002041858090862685,11.695247021764182,441,0.3910614525139665,0.223463687150838,1.9553072625698324,1.1731843575418994,1.2849162011173185,0.446927374301676,1.8994413407821231,1.7318435754189945,0.2793296089385475,0.0558659217877095,0,0.2,60.0,0,13.889941899131887,-2.1946948773677057,-88.86074552934143,Underpaid
Fermin López,2023-2024,20,ESP,Barcelona,La Liga,"MF,FW",31,1446,16.1,14,17,6,8,0,8,8,0,0,0,51,51,0.16,0.32,25,49.0,20,3,3,0,47,47,42.3,70.0,1,28.0,2.29,2.29,31,14,17,0.24,2,2,0,0,43,17,10,0,10,"€ 12,115 (£ 10,235, $13,020)","€ 630,000 (£ 532,242, $677,026)",12115,630000,MF,211340000,2,0.9473684210526315,0.0029809785180278225,13.353475098367715,400,0.49689440993788814,0.0,3.167701863354037,1.5527950310559004,1.2422360248447204,0.18633540372670807,2.670807453416149,1.0559006211180124,0.12422360248447203,0.6211180124223602,0,0.16,49.0,0,15.208702584241953,-1.855227485874238,-84.35826441115877,Underpaid
Niccolò Pisilli,2024-2025,19,ITA,Roma,Serie A,MF,28,1227,13.6,11,17,9,2,1,3,2,0,0,0,27,27,0.07,0.25,8,29.6,12,11,11,0,44,44,35.9,77.0,5,23.0,1.93,1.93,19,13,6,-0.18,7,7,0,0,19,13,1,0,1,"€ 3,269 (£ 2,759, $3,370)","€ 170,000 (£ 143,493, $175,241)",3269,170000,MF,87710000,4,0.8421052631578947,0.0019382054497776764,12.043553716032399,361,0.14705882352941177,0.07352941176470588,1.9852941176470589,0.5882352941176471,0.8823529411764706,0.8088235294117647,1.397058823529412,0.9558823529411765,0.5147058823529412,0.07352941176470588,0,0.07,29.6,0,13.867709361380017,-1.8241556453476182,-83.86461735173454,Underpaid
Abdou Harroui,2022-2023,24,NED,Sassuolo,Serie A,MF,23,647,7.2,5,18,14,2,0,2,2,0,0,0,14,14,0.14,0.5,4,28.6,6,3,3,0,28,28,18.9,66.0,1,18.0,1.35,1.35,5,9,-4,-0.23,2,2,0,0,13,3,1,0,1,"€ 2,308 (£ 1,985, $2,523)","€ 120,000 (£ 103,237, $131,215)",2308,120000,MF,31036000,13,0.3684210526315789,0.0038664776388709883,11.695247021764182,576,0.2777777777777778,0.0,1.9444444444444444,0.5555555555555556,0.8333333333333333,0.41666666666666663,1.8055555555555556,0.41666666666666663,0.2777777777777778,0.1388888888888889,0,0.14,28.6,0,13.38531054108148,-1.6900635193172988,-81.54921961889701,Underpaid
Curtis Jones,2024-2025,23,ENG,Liverpool,Premier League,"MF,DF",33,1712,19.0,19,14,1,3,3,6,3,0,0,0,34,34,0.09,0.23,13,38.2,22,7,7,0,52,52,50.1,76.0,6,19.0,2.09,2.09,38,26,12,-1.11,3,3,1,1,18,25,1,0,1,"£ 15,000 (€ 17,771, $18,319)","£ 780,000 (€ 924,103, $952,577)",17771,924103,MF,152626250,5,0.7894736842105263,0.006054679322855669,13.736578816272766,529,0.15789473684210525,0.15789473684210525,1.7894736842105263,0.6842105263157895,1.1578947368421053,0.3684210526315789,0.9473684210526315,1.3157894736842106,0.15789473684210525,0.05263157894736842,0,0.09,38.2,0,15.377088410670131,-1.6405095943973649,-80.61187836691437,Underpaid
Rodrigo Riquelme,2023-2024,23,ESP,Atlético Madrid,La Liga,"MF,DF",34,1528,17.0,17,17,4,3,5,8,3,0,0,0,37,37,0.08,0.19,16,43.2,19,9,9,0,45,45,44.7,64.0,4,26.0,1.97,1.97,28,26,2,-1.07,1,1,0,0,11,28,9,0,9,"€ 11,923 (£ 10,073, $12,813)","€ 620,000 (£ 523,794, $666,280)",11923,620000,MF,170890000,3,0.8947368421052632,0.003628064837029668,13.337474757021274,529,0.17647058823529413,0.29411764705882354,2.176470588235294,0.9411764705882353,1.1176470588235294,0.5294117647058824,0.6470588235294118,1.6470588235294117,0.058823529411764705,0.5294117647058824,0,0.08,43.2,0,14.916121559830074,-1.5786468028087999,-79.37459882007832,Underpaid
Manu Bueno,2024-2025,20,ESP,Sevilla,La Liga,MF,9,140,1.6,1,8,9,1,0,1,1,0,0,0,4,4,0.25,1.0,1,25.0,3,0,0,0,16,16,4.1,69.0,0,9.0,1.0,1.0,3,3,0,0.36,0,0,0,0,2,3,0,0,0,"€ 3,462 (£ 2,922, $3,568)","€ 180,000 (£ 151,934, $185,549)",3462,180000,MF,58730000,5,0.7894736842105263,0.003064873148305806,12.100712129872347,400,0.6042938542938544,0.0,2.5,0.625,1.875,0.0,1.25,1.875,0.0,0.0,0,0.25,25.0,0,13.645013445764064,-1.5443013158917172,-78.6539039085319,Underpaid
Niklas Schmidt,2022-2023,24,GER,Werder Bremen,Bundesliga,MF,24,1087,12.1,11,13,9,3,0,3,3,0,0,0,21,21,0.14,0.33,9,42.9,11,6,6,0,45,45,35.5,71.0,3,23.0,0.83,0.83,16,22,-6,-0.18,3,3,0,0,20,14,0,0,0,"€ 2,500 (£ 2,151, $2,734)","€ 130,000 (£ 111,840, $142,150)",2500,130000,MF,23590000,12,0.35294117647058826,0.005510809665112336,11.77528972943772,576,0.24793388429752067,0.0,1.7355371900826446,0.7438016528925621,0.9090909090909092,0.49586776859504134,1.6528925619834711,1.15702479338843,0.24793388429752067,0.0,0,0.14,42.9,0,13.295244023528115,-1.519954294090395,-78.12781163935993,Underpaid
Enzo Le Fée,2022-2023,22,FRA,Lorient,Ligue 1,MF,35,3028,33.6,35,0,0,5,6,11,5,0,0,0,45,45,0.11,0.28,18,40.0,64,30,30,0,87,87,88.5,87.0,22,,1.54,1.54,49,47,2,0.75,5,5,0,0,42,63,2,0,2,"€ 1,923 (£ 1,654, $2,103)","€ 100,000 (£ 86,031, $109,346)",1923,100000,MF,8560000,17,0.15789473684210525,0.011682242990654205,11.512925464970229,484,0.1488095238095238,0.17857142857142858,1.3392857142857142,0.5357142857142857,1.9047619047619047,0.8928571428571428,1.25,1.875,0.1488095238095238,0.05952380952380952,0,0.11,40.0,0,13.007163927999924,-1.4942384630296957,-77.55805566247076,Underpaid
