player,from_team,to_team,from_league,to_league,season,prev_eff,arrival_eff,cross_league,selling_value_captured
Aaron Ramsey,Nice,Burnley,Ligue 1,Premier League,2023-2024,1.1993099262582216,0.9320941466938386,True,0.267215779564383
Aaron Wan-Bissaka,Manchester Utd,West Ham United,Premier League,Premier League,2024-2025,-0.3001579526607774,0.3283800362590678,False,-0.6285379889198452
Aarón Martín,Mainz 05,Genoa,Bundesliga,Serie A,2023-2024,0.9987109464029889,0.4659157277412475,True,0.5327952186617413
Abdallah Sima,Angers,Brest,Ligue 1,Ligue 1,2024-2025,0.6110811417043607,0.2094278941626139,False,0.4016532475417468
Abde Ezzalzouli,Osasuna,Real Betis,La Liga,La Liga,2024-2025,-0.6519664798971192,-0.5772244052727249,False,-0.0747420746243943
Abdou Harroui,Sassuolo,Frosinone,Serie A,Serie A,2023-2024,-1.690063519317162,-0.097122932220218,False,-1.592940587096944
Abdou Harroui,Frosinone,Hellas Verona,Serie A,Serie A,2024-2025,-0.097122932220218,-0.0326358100798156,False,-0.0644871221404024
Abner,Real Betis,Lyon,La Liga,Ligue 1,2024-2025,0.0359794831349944,0.1728559945281578,True,-0.13687651139316342
Adam Hložek,Leverkusen,Hoffenheim,Bundesliga,Bundesliga,2024-2025,0.2463963699487195,0.4289038613959572,False,-0.1825074914472377
Adam Lallana,Brighton,Southampton,Premier League,Premier League,2024-2025,0.3908529928266109,-0.1660462636634943,False,0.5568992564901052
Adam Masina,Udinese,Torino,Serie A,Serie A,2023-2024,0.7545949219297139,-0.1745481705359921,False,0.929143092465706
Adama Traoré,Wolves,Fulham,Premier League,Premier League,2023-2024,0.1471852584691877,0.1697022320769026,False,-0.022516973607714902
Adnan Januzaj,Sevilla,Las Palmas,La Liga,La Liga,2024-2025,0.3049854436216961,1.1408323463973993,False,-0.8358469027757032
Ado Onaiwu,Toulouse,Auxerre,Ligue 1,Ligue 1,2024-2025,0.499747981790744,0.2449300681436632,False,0.2548179136470808
Adri Embarba,Almería,Rayo Vallecano,La Liga,La Liga,2024-2025,-0.189010562824933,0.136695786620999,False,-0.325706349445932
