club,n_signings,buy_mean_eff,n_sales,sell_value_captured,transfer_iq_score
Alavés,10.0,0.5412943248062055,4.0,0.2934348815048491,-0.20740264228178365
Almería,5.0,0.7926701384002893,4.0,-0.43102185634713663,-0.6480108255790282
Angers,4.0,0.3121134463164381,3.0,0.17052179955157484,-0.11905934796923291
Arsenal,8.0,0.13410950586436488,3.0,-0.8979378735350458,-0.43964085293263727
Aston Villa,7.0,0.31313776216658695,4.0,-0.669611253011364,-0.45572715850449774
Atalanta,16.0,-0.0047258343868022,12.0,-0.22574340749831348,-0.08746186236724407
Athletic Club,3.0,-0.25622691825093175,3.0,0.011833568146356535,0.15846957820910165
Atlético Madrid,11.0,-0.09499058230772452,4.0,0.4458550129458261,0.23533635456296514
Augsburg,6.0,0.21562649374383724,1.0,-0.3502787322039306,-0.26948738912787457
Auxerre,3.0,0.5143279558288997,0.0,0.0,-0.30859677349733977
Barcelona,6.0,-0.592474014567632,7.0,-1.01978852364902,-0.052431000719028786
Bayern Munich,9.0,-0.16580123451853246,7.0,-0.1509622067182748,0.03909585802380955
Bochum,2.0,0.8734625053533076,4.0,-0.10239954994159463,-0.5650373231886224
Bologna,9.0,0.21174227465550188,6.0,0.4565872657006098,0.05558954148694281
Bournemouth,6.0,0.3548006789593125,4.0,-0.1932309513749675,-0.2901727879255745
Brentford,4.0,0.28799748847772344,1.0,0.5122866295382221,0.03211615872865481
Brest,9.0,0.5332982726977311,4.0,-0.34197601085943496,-0.45676936796241263
Brighton,4.0,0.20784754405132277,8.0,-0.10042164949610097,-0.16487718622923406
Burnley,3.0,0.37036202579038974,7.0,-0.17505351176079717,-0.29223862017855273
Cagliari,9.0,0.0030625286459968017,5.0,-0.05524380683311603,-0.023935039920844493
Celta Vigo,6.0,0.4684132414396978,7.0,-0.3395943405375666,-0.4168856810788453
Chelsea,15.0,-0.10232066394053009,15.0,-0.725365078406756,-0.22875363299838436
Clermont Foot,0.0,0.0,4.0,0.08895319196669815,0.035581276786679265
