from_league,to_league,n_transfers,mean_arrival_eff
Bundesliga,Bundesliga,58,0.1364334870962184
Bundesliga,La Liga,13,0.25729995090877084
Bundesliga,Ligue 1,9,0.41269125968075887
Bundesliga,Premier League,19,0.25635434370007326
Bundesliga,Serie A,17,0.20462539531273863
La Liga,Bundesliga,3,0.3054033006168441
La Liga,La Liga,92,0.11829889379616527
La Liga,Ligue 1,12,0.3471659158174359
La Liga,Premier League,20,-0.050283261466099835
La Liga,Serie A,16,0.1827564476334803
Ligue 1,Bundesliga,16,0.4064148168096521
Ligue 1,La Liga,15,0.1455696702701245
Ligue 1,Ligue 1,46,0.29183668779708444
Ligue 1,Premier League,20,-0.152529476158516
Ligue 1,Serie A,17,0.18806765254256064
Premier League,Bundesliga,15,0.25779632519995144
Premier League,La Liga,23,0.7928293246052031
Premier League,Ligue 1,12,0.7039088346240591
Premier League,Premier League,68,0.14605249687035246
Premier League,Serie A,13,0.26328453690015863
Serie A,Bundesliga,7,0.5330135822147565
Serie A,La Liga,10,0.5726106508106903
Serie A,Ligue 1,14,0.33927479276107547
Serie A,Premier League,20,0.06975600943674562
Serie A,Serie A,132,0.08885270317532087
