source,target
paris saint-germain,psg
man utd,manchester united
manchester utd,manchester united
real betis,betis
internazionale,inter
inter milan,inter
borussia monchengladbach,monchengladbach
borussia ma¶nchengladbach,monchengladbach
fc koln,koln
ka¶ln,koln
borussia dortmund,dortmund
vfb stuttgart,stuttgart
athletic bilbao,athletic club
deportivo alaves,alaves
verona,hellas verona
fc heidenheim,heidenheim
bayer leverkusen,leverkusen
clermont,clermont foot
köln,koln
borussia mönchengladbach,monchengladbach
