Player,Team,Season,position_group,efficiency_score_injury_adjusted,injury_days_overlap,entity,rank
Paul Wanner,Heidenheim,2024-2025,Midfielders,2.8951421951708056,15.0,Paul Wanner | Heidenheim | 2024-2025,1
Stefan Bajcetic,Las Palmas,2024-2025,Defenders,2.804228663684597,6.0,Stefan Bajcetic | Las Palmas | 2024-2025,2
Stefan Bajcetic,Las Palmas,2024-2025,Midfielders,2.6198638922661845,6.0,Stefan Bajcetic | Las Palmas | 2024-2025,3
Samuel Umtiti,Lecce,2022-2023,Defenders,2.431363276491029,9.0,Samuel Umtiti | Lecce | 2022-2023,4
Bryan Zaragoza,Osasuna,2024-2025,Midfielders,2.3609946261245436,86.0,Bryan Zaragoza | Osasuna | 2024-2025,5
Kylian Mbappé,Paris Saint-Germain,2022-2023,Forwards,2.2493789446744037,11.0,Kylian Mbappé | Paris Saint-Germain | 2022-2023,6
Matthias Ginter,Freiburg,2023-2024,Defenders,2.118551599878146,124.0,Matthias Ginter | Freiburg | 2023-2024,7
Nico Williams,Athletic Club,2023-2024,Midfielders,2.1152928248072764,55.0,Nico Williams | Athletic Club | 2023-2024,8
Youssouf Koné,Ajaccio,2022-2023,Defenders,1.9864537815538112,80.0,Youssouf Koné | Ajaccio | 2022-2023,9
Nico Williams,Athletic Club,2024-2025,Midfielders,1.9479431320247829,58.0,Nico Williams | Athletic Club | 2024-2025,10
Lionel Messi,Paris Saint-Germain,2022-2023,Forwards,1.9356380582736252,18.0,Lionel Messi | Paris Saint-Germain | 2022-2023,11
Ansu Fati,Barcelona,2022-2023,Forwards,1.9197141211842013,7.0,Ansu Fati | Barcelona | 2022-2023,12
Eden Hazard,Real Madrid,2022-2023,Forwards,1.914313008342463,22.0,Eden Hazard | Real Madrid | 2022-2023,13
Marash Kumbulla,Sassuolo,2023-2024,Defenders,1.845254899478174,34.0,Marash Kumbulla | Sassuolo | 2023-2024,14
Luca Netz,Gladbach,2022-2023,Midfielders,1.8166743947667217,6.0,Luca Netz | Gladbach | 2022-2023,15
Gianluigi Donnarumma,Paris Saint-Germain,2024-2025,Goalkeepers,1.7446033122625217,16.0,Gianluigi Donnarumma | Paris Saint-Germain | 2024-2025,16
Fernando,Almería,2023-2024,Goalkeepers,1.7394909609105926,96.0,Fernando | Almería | 2023-2024,17
Luca Netz,Gladbach,2022-2023,Defenders,1.7167819834901203,6.0,Luca Netz | Gladbach | 2022-2023,18
Éderson,Atalanta,2022-2023,Midfielders,1.7047069167256406,13.0,Éderson | Atalanta | 2022-2023,19
Arthur Theate,Rennes,2023-2024,Defenders,1.6072081933839897,35.0,Arthur Theate | Rennes | 2023-2024,20
