Player,Team,Season,position_group,efficiency_score,injury_days_overlap,entity,rank
Pablo Torre,Barcelona,2024-2025,Midfielders,-3.060094488817752,11.0,Pablo Torre | Barcelona | 2024-2025,1
Takuma Asano,Bochum,2022-2023,Midfielders,-2.749275453891208,64.0,Takuma Asano | Bochum | 2022-2023,2
Warmed Omari,Rennes,2022-2023,Defenders,-2.6692512393236534,91.0,Warmed Omari | Rennes | 2022-2023,3
Gorka Guruzeta,Athletic Club,2023-2024,Forwards,-2.656055905758132,39.0,Gorka Guruzeta | Athletic Club | 2023-2024,4
Alejandro Balde,Barcelona,2022-2023,Defenders,-2.391291824503305,62.0,Alejandro Balde | Barcelona | 2022-2023,5
Felix Nmecha,Wolfsburg,2022-2023,Midfielders,-2.3875480274875738,10.0,Felix Nmecha | Wolfsburg | 2022-2023,6
Antonios Papadopoulos,Dortmund,2023-2024,Defenders,-2.319211715300785,20.0,Antonios Papadopoulos | Dortmund | 2023-2024,7
Janis Blaswich,RB Leipzig,2022-2023,Goalkeepers,-2.30594549039877,5.0,Janis Blaswich | RB Leipzig | 2022-2023,8
Maghnes Akliouche,Monaco,2023-2024,Midfielders,-2.1946948773677057,5.0,Maghnes Akliouche | Monaco | 2023-2024,9
Marco Carnesecchi,Atalanta,2024-2025,Goalkeepers,-2.1656320138510115,11.0,Marco Carnesecchi | Atalanta | 2024-2025,10
Mathias Olesen,Köln,2022-2023,Midfielders,-2.0127351781948946,64.0,Mathias Olesen | Köln | 2022-2023,11
Mohamed Amoura,Wolfsburg,2024-2025,Forwards,-1.952348164174989,66.0,Mohamed Amoura | Wolfsburg | 2024-2025,12
Toby Collyer,Manchester Utd,2024-2025,Midfielders,-1.9478365312489487,65.0,Toby Collyer | Manchester Utd | 2024-2025,13
Marc Casado,Barcelona,2024-2025,Midfielders,-1.9343826160647524,56.0,Marc Casado | Barcelona | 2024-2025,14
Aitor Paredes,Athletic Club,2023-2024,Defenders,-1.9297426112256328,6.0,Aitor Paredes | Athletic Club | 2023-2024,15
Matteo Ruggeri,Atalanta,2022-2023,Defenders,-1.88727752575363,84.0,Matteo Ruggeri | Atalanta | 2022-2023,16
Matteo Ruggeri,Atalanta,2022-2023,Midfielders,-1.872316290998251,84.0,Matteo Ruggeri | Atalanta | 2022-2023,17
Abdelhamid Sabiri,Sampdoria,2022-2023,Midfielders,-1.839933577175268,28.0,Abdelhamid Sabiri | Sampdoria | 2022-2023,18
Rodrigo Muniz,Fulham,2024-2025,Forwards,-1.8365636156945424,53.0,Rodrigo Muniz | Fulham | 2024-2025,19
Eliot Matazo,Monaco,2023-2024,Midfielders,-1.809755062633002,82.0,Eliot Matazo | Monaco | 2023-2024,20
