Player,Team,Season,position_group,efficiency_score_injury_adjusted,injury_days_overlap,entity,rank
Pablo Torre,Barcelona,2024-2025,Midfielders,-3.08054926779917,11.0,Pablo Torre | Barcelona | 2024-2025,1
Takuma Asano,Bochum,2022-2023,Midfielders,-2.8682850770558215,64.0,Takuma Asano | Bochum | 2022-2023,2
Warmed Omari,Rennes,2022-2023,Defenders,-2.838468047260838,91.0,Warmed Omari | Rennes | 2022-2023,3
Gorka Guruzeta,Athletic Club,2023-2024,Forwards,-2.728577394874068,39.0,Gorka Guruzeta | Athletic Club | 2023-2024,4
Alejandro Balde,Barcelona,2022-2023,Defenders,-2.506582396944024,62.0,Alejandro Balde | Barcelona | 2022-2023,5
Felix Nmecha,Wolfsburg,2022-2023,Midfielders,-2.4061432811070445,10.0,Felix Nmecha | Wolfsburg | 2022-2023,6
Antonios Papadopoulos,Dortmund,2023-2024,Defenders,-2.3564022225397268,20.0,Antonios Papadopoulos | Dortmund | 2023-2024,7
Janis Blaswich,RB Leipzig,2022-2023,Goalkeepers,-2.3152431172085053,5.0,Janis Blaswich | RB Leipzig | 2022-2023,8
Maghnes Akliouche,Monaco,2023-2024,Midfielders,-2.203992504177441,5.0,Maghnes Akliouche | Monaco | 2023-2024,9
Marco Carnesecchi,Atalanta,2024-2025,Goalkeepers,-2.1860867928324295,11.0,Marco Carnesecchi | Atalanta | 2024-2025,10
Mathias Olesen,Köln,2022-2023,Midfielders,-2.131744801359508,64.0,Mathias Olesen | Köln | 2022-2023,11
Marc Bernal,Barcelona,2024-2025,Midfielders,-2.0799516794793536,353.0,Marc Bernal | Barcelona | 2024-2025,12
Mohamed Amoura,Wolfsburg,2024-2025,Forwards,-2.0750768380634965,66.0,Mohamed Amoura | Wolfsburg | 2024-2025,13
Toby Collyer,Manchester Utd,2024-2025,Midfielders,-2.0687056797755092,65.0,Toby Collyer | Manchester Utd | 2024-2025,14
Matteo Ruggeri,Atalanta,2022-2023,Defenders,-2.0434776561571852,84.0,Matteo Ruggeri | Atalanta | 2022-2023,15
Marc Casado,Barcelona,2024-2025,Midfielders,-2.0385160363337893,56.0,Marc Casado | Barcelona | 2024-2025,16
Matteo Ruggeri,Atalanta,2022-2023,Midfielders,-2.028516421401806,84.0,Matteo Ruggeri | Atalanta | 2022-2023,17
Jordan Beyer,Burnley,2023-2024,Defenders,-1.976606991303755,247.0,Jordan Beyer | Burnley | 2023-2024,18
Bouna Sarr,Bayern Munich,2023-2024,Defenders,-1.9741877830530867,183.0,Bouna Sarr | Bayern Munich | 2023-2024,19
Eliot Matazo,Monaco,2023-2024,Midfielders,-1.9622361423126629,82.0,Eliot Matazo | Monaco | 2023-2024,20
